PHRASE,START,END
we've got two more just like that,144.07999999999998,145.44
take it down big reach,146.13,148.43
all right let's go ahead and place the hand down we're gonna bring it back to that high plank bend those knees,149.31,154.0
walk those hands back,154.27,155.66
roll yourself up nice and slow,155.99,157.979999
we're just gonna take into a regular reverse lunge,158.58,160.800001
so stepping it back you can rest the knee on the ground we'll drive through the heel,161.01,164.54
bring it back together,164.79,165.79
shoulders are back,166.0,166.81
you can let that a knee just go a little past your toe you don't want to go too far forward so your heel comes up you just want to really drive through that,168.03,174.259999
front heel to bring yourself back to standing position,174.53,177.12
we'll go two more each side,177.57,179.06
make sure you're breathing,180.15,181.0
last one each side,182.05,183.05
all right now I want you to take your feet about hip width we'll take it to two different movement patterns here first we're taking it into a squat so sitting back driving the knees out,184.93,193.069999
then we'll hinge,193.28,194.32
and then bring it back up so I want you to feel the difference between these two movements,194.98,198.88
with that squat you're bending those knees feeling it more in those quads,199.21,202.67
and,202.94000000000003,203.1
that hinge,203.48,204.11
you should feel,204.37,205.11
in the back,205.58,206.22
of those legs,206.5,207.279999
so sit it back,207.969999,208.759999
hinge it forward,209.469999,210.37
huh Rosio so glad you were able to make it this week,211.02,214.76
we've been loving having you every single week,215.279999,217.44
at our workouts,217.81,218.68
we've got a few more just like this squad,219.21,220.71
so we will revisit this hinge later on,222.46,224.88
in a single leg position,226.87,228.24
whoo last one,229.17,229.93
all right,230.7,231.54
so warm up,232.199999,232.780001
feeling good,233.109999,233.629999
we're gonna go to a nice little core set to start we're gonna hit three different moves,234.039999,237.85
and we're going three times through,238.08,239.76
I'll give you,240.03,240.62
one version for the first round and then each round I'll add on a little progression,241.34,245.349999
so first up we're gonna bring those shoulder blades off the ground,245.61,248.199999
we lower our legs to the lowest point we can keep that Mahalo in our body,248.4,251.81
you ready,252.039999,252.46
join me now 30 seconds here,252.83,254.57
shoulder blades off the ground,254.84,255.96
big inhales,256.87,257.86
and,258.31,258.59000000000003
exhales,259.23,259.39000000000004
yeah okay so with these if you feel like they're feeling pretty challenging for you you can even bend those knees a little bit,262.28,268.489999
shorten that lever or you can even bring the legs up a little bit higher,268.84,271.81
but whatever you're doing try to keep that hollow,272.11,274.03
in your belly,274.35,275.14
keep a lot of tension,275.42,276.46
shoulder blades off the ground get that scoop,276.78,278.97
three,279.32,279.7
two,280.21,280.56
one relax all right lay down,280.95,283.199999
now you can bend those knees,283.44,284.73
the fingertips are just,285.27,286.73
grazing the back of your heels here you're gonna peel your hips off the ground,287.15,290.55999999999995
and then you're gonna dig one heel to the ground as you bring one knee to your chest,291.18,294.4
and then switch it out join me if you haven't already,294.79,297.459999
use your,298.03,298.36999999999995
hands on the ground to give you some stability,298.65,300.87
give you a little leverage,301.11,302.149999
because you want to keep the hips,302.67,303.919999
nice and stable as you're moving through these,304.15,306.37999900000005
and really thinking about keeping the ribcage,306.65,308.18
down,308.6,309.07000000000005
and the tailbone,309.31,309.78000000000003
tucked up,310.06,310.66
so breathe,311.17,311.92999999999995
yeah build that tension through the ground,312.53,314.44
few more here,316.32,316.97
last one,318.309999,318.94
and,319.83,320.46
one,320.82,321.41
all right now we're gonna bring ourselves into a bear position so we'll,321.89,325.23
swing it on around,325.49,326.57
knees underneath the hips,327.11,328.17
hands press into the ground,328.8,330.21
we're gonna,330.41,330.82000000000005
hover those knees,331.04,331.81
nice and easy off the ground,332.28,334.02
so look right past those fingertips,334.25,336.1
keep that tailbone tucked,336.37,337.47
it nice and strong,337.74,338.549999
so nice active shoulders,339.65,341.129999
I want you to pretend like you're pushing the ground away from you here,341.35,344.23999999999995
whoo big,346.2,346.54
exhales,346.81,347.29
and I know my girl Kirstie Gotso is was working out with us this morning,347.8,350.99
you get to catch her next week again too,351.389999,353.24
I know we've been loving her work,353.719999,355.15
outs and her,355.36,355.48
hot sauce burpees,355.91,356.65
and I know she's had her wake and drink coffee already this morning,357.39,360.089999
we've got three,360.76,361.67
two,362.21,362.29
one and recover,363.93,364.99
all right we're going back to those hollow holds but this time we're gonna change it up a little bit,365.67,369.55
if you feel pretty good on these we're gonna tap down,369.92,372.719999
and the tap behind your head,373.07,374.37
tap down,374.589999,375.209999
tap behind your head join me if you haven't already,375.53,377.659999
I want you to try to get those biceps by those ears,378.23,380.55
so still,381.1,381.9
keeping that hollow through your belly,382.42,384.05
keeping it nice and strong,384.4,385.8
slow exhales,386.76,387.69
yeah,389.2,389.61
come on,390.15,390.64
ten seconds come on squad,391.54,392.58
we're doing this together,392.88,393.86
whatever level you're at,394.190001,395.29
you and me together let's go,395.799999,396.99
last four,397.37,398.13
three,398.91,399.3200000000001
two,400.01,400.16
one,400.81,401.26
woohoo all right bridge march now,402.49,404.17
so again peeling the hips off the ground,404.83,406.4
dig,407.099999,407.429999
into the floor,407.94,408.72
three,409.16,409.54
two,410.03,410.4
one,410.799999,411.139999
let's go,411.54,412.09
bring that knee to your,413.219999,413.97
chest yeah it's nice and easy nice and controlled,416.13,418.57
if you're feeling pretty good,419.31,420.7
about your stability and you want to challenge yourself a little more,420.96,423.62
you can bring your hands up then you won't have the,424.03,426.06
stability from the ground,426.42,427.57
oh and I guess my girl Kirstie,428.309999,429.78
our girls,430.139999,430.439999
Tracey Copeland is back,430.92,432.48
with us,433.02,433.3
she gave us a little,433.95,434.89
dance,435.4,435.85
a few weeks ago,436.4,437.28
and now she's here,437.88,438.68
in getting our strength on,439.12,439.97
three,440.84,441.14
two,441.75,441.89
one,442.76,442.98
all right relax go,443.49,444.579999
and slow,444.819999,445.259999
those hips down,445.469999,446.29
bring it on up,446.96,447.8200000000001
now,448.109999,448.689999
we're gonna take it,449.529999,450.269999
and do some shoulder taps,450.559999,452.01
with a bare plank so,452.28,453.34
hovering off the ground,453.71,454.59
tap,454.84,455.33
and tap,455.81,456.44
so,456.98,457.23
balance,457.6,458.14
something on,458.61,458.81
your hips keep them nice and stable if,459.04,460.489999
you haven't already join me please join me,461.02,463.01
Chrissy how you feelin,464.4,464.78
how about you Tracy,465.85,466.839999
I love when my fellow Nike master trainers,467.1,469.21
hang out with me on,469.63,470.58
the work outs let's go almost there we have one more time through after this,471.14,476.99
four,477.469999,477.829999
three,478.48,478.97
two,479.54,479.87
one,480.36,480.8
recover,481.259999,482.239999
all right swing those legs around,484.48,486.33
we're going back to the hollow,487.38,488.59
hold,488.89,489.1
but this time if you feel really good,489.58,491.07
we're going to hollow rocks,491.37,492.58
join me here,492.93,493.68
let's go,494.099999,494.75
remember you can always bring it back in to that hollow hold or just go to the hollow taps,495.23,499.41
you take it to your levels I'm giving you options,499.74,502.06
remember this is your workout but we're doing it together,502.43,504.66
come on,505.03,505.41
big squeeze,506.72,507.2000000000001
let's,508.03,508.22
go,508.56,508.58
keep those shoulders off the ground,511.04,512.61
keep that hollow let's go five seconds,513.19,515.45
that's three,517.389999,518.089999
two,518.88,519.06
one,520.63,520.92
all right last time on the bridge March,522.209999,523.86
if you didn't bring those hands up maybe try it this time,524.17,526.4899999999999
ready,526.9,527.27
peel those hips off the ground,527.91,529.1700000000001
three,529.81,530.3599999999999
two,530.91,531.2099999999999
one,531.71,532.1
all right dig into the floor,532.49,534.2
keep that tailbone tucked,534.71,536.0
keep a nice and strong,537.339999,538.53
after this we have our bare plank,539.309999,541.29
and then we'll try to get the heart rate up a little bit more,541.6,544.1999999999999
squad,545.8499999999999,545.9
how you feeling,546.98,547.6
feeling good,548.23,548.69
I know my mom is here,550.32,551.61
joining us this morning,552.2,553.46
she,553.98,554.33
specifically went to her studio where she does her ceramics,556.09,559.0500000000001
so she had a little bit of space,559.33,560.8100000000001
to work out so hi mom,561.08,562.33
you got five more seconds,563.31,564.6800000000001
three,565.03,565.42
two,566.059999,566.169999
one,567.13,567.37
alright peel those hips down nice and slow,567.71,570.51
let's swing it on around,570.969999,572.15
alright,574.0,574.69
so now we're going into those bare planks again,575.5,577.6700000000001
three,577.98,578.36
two one tap,578.58,579.98
tap now I want you to try to,580.37,581.82
extend,582.0200000000001,582.4300000000001
the opposite leg,582.68,583.8000000000001
when you're here,584.24,584.8499989999999
if you feel good,585.11,585.83
or you can just stay here,586.28,587.1700000000001
I'm okay with that,587.61,588.419999
what's up Nicole,588.84,589.7299989999999
good morning to you,590.16,591.21
awesome job everyone,593.67,595.1
stay strong with me,595.65,596.59
good,597.89,598.35
breathe,599.18,599.65
push,600.18,600.7399999999999
five more seconds,601.03,602.26
three,602.849999,603.369999
two one,604.869999,605.0599990000001
all right relax,605.889999,607.3900000000001
so now,607.799999,608.41
we're standing up push yourself up,608.91,611.009999
we're gonna go to some quick feet,611.629999,613.0300010000001
we're just gonna move the feet as quick as we can and when I say forward,613.42,616.37
you're just gonna jump your feet forward and jump them back,616.61,618.71
alright so just move as fast as you can forward,618.98,620.88
only when I say forward you ready,621.19,622.78
we're doing this two times three,623.34,624.86
two one move those feet,625.16,626.4499999999999
forward,627.15,627.53
nice come on forward,628.33,629.359999
good so nice and quick forward,630.42,631.52
yes you got it,631.96,632.85
forward,633.12,633.26
keep that chest up,634.0,634.6899999999999
feet moving fast come on,635.26,637.98
come on forward forward yes come on,638.349999,641.2099999999999
three,641.65,642.12
two,642.559999,642.659999
one,643.309999,643.519999
relax all right tap it out,644.139999,645.96
we're gonna try that again,646.73,647.5699989999999
Trish,648.16,648.63
I'm so glad you've been moving with us,649.039999,650.9
keep crushing it,651.31,652.1600000000001
it's so awesome every single week you guys been hanging out with us,652.72,656.1700000000001
working out,656.639999,657.26
really getting after it and being a really great example for everyone around you,657.96,661.05
so thank you for that,661.52,662.43
all right,663.139999,663.45
one more time on the fast feet with a forward jumps three,664.139999,666.8100000000001
two,667.07,667.3100000000001
one,671.2500000000001,671.3800000000001
let's go forward forward yes forward forward yup come on are you quick are,673.1600000000001,676.0
you quick how can you,676.33,676.81
go,680.2199999999999,680.2399999999999
forward forward forward come on,681.3399999999999,681.98
come on,682.28,682.33
three,683.1,683.27
two one,683.86,683.93
relax all right,685.6,687.74
how are you feeling,688.72,689.32
everyone feeling good,690.13,690.83
all right so we're moving into our strength set,691.72,693.26
we are only moving through two different movement patterns push up first,693.84,696.83
so this first round we're going to eccentric so I'm going to cue you down for four seconds,697.34,702.1400010000001
and then,702.709999,703.21
you're just gonna warm yourself up because the focus here,703.8100000000001,706.18
is the lowering faze,706.41,707.3900000000001
you ready,707.85,708.2900000000001
join me now and three,708.9,709.99
two,710.28,710.4599999999999
one take it down for four,710.82,712.3100000000001
three,712.929999,713.4499989999999
two,714.07,714.4100000000001
one,715.09,715.44
reset,716.15,716.67
bring it up,717.19,717.58
down four,718.15,718.759999
three,719.58,719.99
two,720.699999,721.0499990000001
one,721.67,722.15
reset keep your body as stiff as you can,722.45,724.9499999999999
down four,725.21,725.86
three push energy through your heels two,726.67,728.6
one let's,729.0500000000001,729.32
get three more just like that,730.559999,731.63
come on down four,731.99,732.98
three,733.88,734.36
two,735.0,735.32
one,736.01,736.37
two more let's go,736.859999,737.7
down,738.98,739.3100000000001
four,739.65,739.88
three,740.71,741.09
two,741.93,742.27
one last one come on let's get it,742.86,745.1999999999999
down,745.79,746.0699999999999
four,746.3399999999999,746.4499999999999
three,747.27,747.68
two,748.41,748.67
one,749.39,749.77
and reset,750.28,751.15
okay so now we're gonna bring it back to standing,752.429999,754.8000000000001
so place the foot on the ground,755.219999,756.51
we're gonna bring one leg forward one leg back,757.12,758.77
eccentric split squat now,759.31,760.68
so we're lowering down at my count,760.92,762.8299999999999
then driving through the heel keeping the feet right where they are,763.23,765.369999
join me now here we go down four,765.66,767.11
three,767.79,768.13
two,768.78,769.1
one,769.94,770.08
drive it up,770.42,770.9
down four,771.83,772.41
three,773.24,773.54
two,774.37,774.5799999999999
one up,775.1899999999999,775.56
keep it at that pace,776.95,777.9300000000001
two,778.75,779.09
one drive it up,779.72,780.85
if you love this playlist,781.45,782.769999
by super Sam so,783.01,783.88
super Sam,784.4,784.99
be sure to check out,785.33,786.41
the Spotify link in the YouTube description so you can listen to it again,786.719999,790.24
yeah,790.690001,791.090001
let's get two more just like that down four,791.6600010000001,793.46
three,794.11,794.48
two,795.17,795.4399999999999
one,796.11,796.46
up,796.98,797.25
last one,797.86,797.92
let's go down,798.6,799.18
four,799.61,799.81
three two,800.55,801.01
one,802.49,802.88
alright switch it up other side keep those hips squared forward,803.3,806.13
down four,806.549999,807.249999
three,807.94,808.36
two,808.94,809.3100000000001
one we're going back to the push up set,809.91,811.64
for this breathe,813.19,813.99
control it,814.2800000000001,815.1800000000001
so these,815.97,816.46
metrics are so,816.84,817.24
great because you can feel every,817.59,819.31
single muscle in your body,819.62,820.6400000000001
you can make sure you're doing the form right,821.25,823.14
you're not just moving through the motions you're actually being really aware of your body,823.63,826.5400000000001
right,826.76,827.06
two more just like this,827.559999,828.5400000000001
come on,829.09,829.3100000000001
two,832.32,832.58
one,833.26,833.74
reset last one,834.29,835.44
let's go down,835.73,836.4
four,836.65,837.09
three,837.849999,838.2999990000001
two,838.96,839.12
one,841.349999,841.489999
recover,841.84,842.6700000000001
now,843.29,843.67
we're going back to the ground our push ups we're changing it up now,844.08,846.359999
we're going into a,846.58,847.53
staggered stance so we're gonna bring one,847.74,849.42
arm,849.83,850.1600000000001
down,850.39,850.87
by our,851.41,852.2099999999999
armpit,852.61,853.11
and one arm,853.51,853.99
by our head,854.37,854.859999
so we're gonna go here,855.34,856.23
and then we'll switch,856.639999,857.6899999999999
join me now,857.92,858.699999
let's get it,859.059999,859.8199989999999
so on,861.8999989999999,861.939999
these,862.379999,862.579999
totally fine to be on your knees,862.84,864.34
do what,864.82,865.2800000000001
form,865.6,866.0
that challenges you on these,866.33,867.8299999999999
you got this,869.04,869.59
make sure you're breathing,870.06,870.99
make sure your body's in a straight line,871.42,873.18
we activated our core,873.7,875.02
and our glutes a lot,875.259999,876.43
so you want to make sure you're focusing,876.75,878.1899999999999
on,878.509999,878.789999
keeping everything squeezed,879.17,880.51
everything active,880.74,881.48
stay with me here,884.1,884.85
hey it looks like we have more than 1 500,886.72,887.75
people working out with us today,889.14,890.77
let's keep getting it come on,891.1,892.26
let's,892.75,892.79
get one more,894.44,895.0899999999999
that,895.389999,895.5699989999999
was fun,898.389999,898.7999990000001
let's bring ourselves up,899.43,900.12
we're going to a staggered stance squat now so before we're in a split squat almost like a lunge,901.09,906.11
now we're just going more of a staggered position,906.32,908.27
and just going down and up at a good tempo,908.55,910.29
join me now here we go,910.79,911.89
we're staying at the same side,912.25,913.8
we'll switch sides,914.16,914.98
so go in a tempo that feels good for you,915.23,917.16
so notice,917.719999,918.339999
my front toe or my back toe,918.65,920.04
is in line with the back heel,920.64,921.95
I'm focusing on driving my knees out,923.45,925.13
as I sit back,925.71,926.42
chest is up,927.389999,928.14
lower is not necessarily better on these,929.84,931.53
you should feel,931.99,932.81
it more in that front leg but you definitely will feel it a little bit in that back,933.23,936.75
especially in that hip flexor,937.92,938.97
so keep it straight,939.58,940.71
keep it,941.25,941.46
forward,941.85,941.91
you're doing great,942.62,943.42
come on squad,943.98,944.76
alright few more,946.35,946.86
two,947.8,947.96
one,949.14,949.25
alright let's switch it up other side stagger the foot,949.67,952.17
chest up,952.91,953.43
sit it back,954.059999,954.62
alright stay with me here,957.0,958.14
drive those knees out,959.01,960.08
go at your,961.03,961.55
tempo so,963.29,963.7
this,964.98,965.19
week,965.42,965.53
we've been thinking about new perspectives,966.24,968.23
and what I,968.799999,969.35
have had to really think about,969.91,971.279999
this time is,971.93,972.55
changing things and looking at everything as an opportunity,972.98,975.58
you know I'm used to going to the gym and lifting heavy things,975.96,978.36
but what I've been loving is changing the tempos,978.67,980.24
going faster on some reps maybe slowing down some things,981.4,984.25
some of the movements that I'm so used to picking up heavy weight,984.53,986.96
I just use my body and challenge myself in such a different way,987.389999,990.32
and I look at it as a brand new opportunity,990.549999,992.78
so that's my new perspective for this week,993.06,994.92
and for the past few months,995.25,996.47
last one,997.03,997.56
okay,999.48,999.9
now we're going into a narrow,1000.71,1002.14
and wide push up,1002.61,1003.42
so everything stays here and then everything stays wide,1003.65,1006.32
arms close,1007.0,1007.63
arms wide arms close,1007.940001,1009.33
arms wide,1009.63,1010.25
alright,1010.68,1011.11
you can be on your,1011.73,1012.29
toes for this or you be on your knees,1012.59,1013.9
join me now,1014.44,1015.01
let's do it,1015.4,1015.91
Oh,1016.32,1016.43
Jake you've earned,1016.86,1017.569999
those waffles after this workout,1017.88,1019.41
are they gonna have chocolate chips in,1020.32,1021.31
them,1021.87,1021.9
or bananas,1022.44,1023.029999
I prefer chocolate chip,1023.61,1024.689999
banana,1024.969999,1025.399999
pancakes,1026.039999,1026.609999
that's actually what I made this morning,1027.23,1028.63
for,1029.15,1029.38
me and my partner,1029.89,1030.49
I haven't gotten to,1033.07,1033.54
eat them yet though,1033.99,1034.72
so I've got a warm up again,1035.32,1036.48
so get a few more,1037.96,1038.89
began remember you can be on your toes for these,1039.5800000000002,1041.73
arms are wide,1042.07,1042.86
arms are narrow,1043.23,1044.07
just build more in your triceps when you go narrow,1044.559999,1046.39
yep,1047.61,1047.9799999999998
everyone's doing,1048.33,1048.79
great stay with,1048.99,1049.1
me,1049.93,1050.0
three,1050.59,1050.9299999999998
two one,1052.57,1052.85
those are hard,1054.82,1055.4
oh,1055.639999,1055.649999
okay stand up,1056.19,1057.04
now we're going narrow squat to wide,1058.19,1060.4
so feet go,1060.9,1061.539999
more narrow than those hips,1062.1999990000002,1063.06
sit in,1063.59,1064.02
and then more of a sumo,1064.51,1065.5100000000002
and out,1065.74,1066.19
join me now,1066.44,1067.08
you haven't already,1067.55,1068.44
so step those feet out as wide as you can,1068.94,1071.2299999999998
and then get it out nice and narrow still setting those hips back,1071.7899999999995,1074.32
so in just a little bit,1075.219999,1076.28
we're gonna,1076.87,1077.13
speed this,1077.54,1077.9199999999998
up and we're gonna have an option to go plyo,1078.1799999999998,1080.72
jumping from in,1081.109999,1081.94
and out but,1082.62,1083.46
when we speed it up,1084.26,1085.12
if you want to go plyo go for it or if you are like I,1085.92,1088.19
don't feel like jumpin and just move a little faster,1088.61,1091.41
okay,1091.8,1092.03
you're with me,1092.71,1093.26
all right ten more seconds and then we'll,1094.059999,1095.78
speed it up keep that chest up keep that posture tall,1096.1,1099.75
yes we're focusing on our legs,1100.46,1102.0300000000002
but you still want to think about those back muscles,1102.42,1104.45
to keep that nice strong posture,1104.76,1106.31
all right you ready to speed it up,1106.62,1107.8200000000002
here we go,1108.33,1108.9
join me now,1109.389999,1110.11
remember you can just speed it up,1110.639999,1111.8100000000002
or you could give me two,1113.86,1114.9399999999998
at each one,1116.32,1117.02
going fast,1117.56,1118.24
all right,1118.82,1119.22
you're with me,1119.8,1120.48
this is the last,1125.39,1125.92
time on these squats,1126.179999,1127.16
join me come on,1129.009999,1129.88
come on ten seconds,1130.5800000000002,1131.6
nice and wide,1133.09,1133.6999999999998
nice and narrow,1134.07,1134.78
five,1136.37,1136.75
come on,1137.41,1137.61
four,1138.27,1138.38
three two one that was fun,1141.65,1143.399999
so now,1144.36,1144.7
we're going back,1145.66,1146.41
to those fast feet,1147.34,1148.269999
this time,1148.889999,1149.4699999999998
I'm going to say side,1150.039999,1151.21
and when I say side you're gonna jump to the side,1151.779999,1153.84
and bring it back to center,1154.23,1155.37
but we're gonna all jump,1155.92,1156.9199999999998
to your,1157.55,1158.14
right,1158.62,1158.81
you,1159.48,1159.53
ready,1160.45,1160.7
here we go,1161.51,1161.7999989999998
quick feet,1162.5799989999998,1162.8499989999998
quick feet side,1163.16,1163.749999
yup side side,1164.45,1165.61
come on,1168.03,1168.22
let's get it side,1169.12,1169.7099999999998
move those feet move those feet side,1170.58,1172.5
side,1174.19,1174.36
side,1175.79,1176.16
let's go,1176.67,1177.1
few more seconds,1177.62,1178.44
three,1178.67,1179.03
two,1179.52,1179.65
one,1180.34,1180.74
tap it out,1181.059999,1181.7
now we go to the other side,1182.16,1183.78
and,1185.309999,1185.549999
don't forget,1185.799999,1186.129999
we have more,1186.57,1187.419999
of these workouts,1187.74,1188.5400000000002
available on the NTC app,1188.8300000000002,1189.76
and NTC premium is free in the US right now,1191.09,1193.87
has amazing programs in there,1194.2,1195.76
so don't forget to check it out,1196.28,1197.339999
all right,1198.04,1198.489999
you ready,1199.159999,1199.659999
three,1200.13,1200.45
two,1200.969999,1201.099999
one back to quick feet we're going this way now side come on side,1201.679999,1205.7099990000002
let's go side nice and fast,1206.8099990000003,1208.9199999999998
how fast can you bring it back to center,1209.15,1210.6
side,1210.81,1211.13
yeah,1211.75,1212.25
side side side and relax alright team,1216.52,1221.02
now we're going back to our strength section,1222.199999,1223.8300000000002
you're feeling good,1224.32,1224.93
virtual high fives right now,1225.55,1226.7
okay so now we're going into a plank row with a hold,1227.37,1230.35
so when I say you're gonna pull,1230.64,1231.74
and hold,1232.33,1232.89
and then you'll switch when I say,1233.37,1234.6799999999998
drive those elbows back and hold,1234.95,1236.92
keep the hip as level as you can,1237.299999,1239.05
you ready,1239.52,1239.9299999999998
join me now here we go,1240.5,1241.409999
up hold,1242.259999,1242.849999
come on,1244.32,1244.58
switch,1245.26,1245.3
drive those elbows back squeeze,1247.33,1248.74
hold switch,1248.98,1249.63
switch so,1252.4999999999998,1252.63
the wider your feet are,1254.24,1255.34
the more stability you have switch,1255.66,1256.849999
yep,1258.209999,1258.609999
so if you want to make it switch,1260.389999,1261.94
easier you could bring your feet,1262.48,1263.88
wider,1264.29,1264.74
switch,1265.05,1265.56
or,1265.98,1266.21
you can bring them more narrow to make it more challenging,1266.82,1268.77
switch,1269.28,1269.49
let's get two more,1271.3,1272.26
switch,1272.53,1273.1
switch,1275.98,1276.16
and,1278.5,1278.61
relax,1279.27,1280.19
all right,1280.62,1281.11
bring those feet down,1281.84,1282.72
so now,1283.48,1283.9699999999998
we're gonna go into a hinge you may have seen this before,1284.71,1286.72
we did it in the warm up but now we're going single leg,1287.13,1289.15
slight bend in the leg,1289.46,1290.299999
hinge slow,1291.09,1291.77
and then drive it up,1292.34,1293.34
nice and easy at your own pace,1294.119999,1295.27
you ready,1295.539999,1295.899999
join me now so one leg,1296.449999,1297.89
leg,1298.86,1299.26
leg is slightly bent so this is that hinge that we did in beginning single leg deadlift,1299.52,1303.66
like an airplane,1303.99,1304.8
weee of your head,1305.73,1306.8
all the way to your leg,1307.24,1308.05
you're straight so your posture is strong shoulders are back,1308.58,1311.3200000000002
yup,1311.65,1312.11
squad,1312.809999,1313.329999
we're crushing it together right now,1314.029999,1315.63
heart rate is probably still a,1317.02,1317.81
little high,1318.09,1318.66
yeah,1319.23,1319.54
it's okay,1320.21,1320.62
just focus on you're slowing down your breath,1321.41,1322.91
but next around what we do these we're gonna speed it up a little bit,1323.75,1326.669999
okay,1326.929999,1327.2999989999998
and shout out,1328.849999,1329.21
to my running mommies who have been tuning in,1329.5,1331.359999
finish my program,1331.959999,1332.63
recently,1333.17,1333.5
now you're doing Kirstie's,1333.83,1334.65
I love,1334.93,1335.48
it,1335.68,1335.76
all right other side,1336.19,1337.11
got a shout out to the most amazing women that I know in LA,1338.01,1341.12
you ladies are so inspiring,1341.73,1343.46
thank you for pushing everyone around you,1344.03,1345.82
so,1346.5,1346.52
keep that back flat shoulders back,1347.929999,1349.699999
yup,1350.389999,1350.819999
go at your own pace,1351.51,1352.63
you might notice your ankles are like oh,1353.1,1354.54
whoa wobbly,1355.11,1355.69
it's okay,1356.25,1356.63
especially if you're not used to doing balance work this might feel really new to you,1357.97,1361.179999
good job,1362.57,1363.1899990000002
we've got a few more just like that,1363.7,1365.28
it's been really fun to watch all of you guys tuning in,1366.969999,1369.48
the past,1370.01,1370.46
few weeks,1371.07,1371.57
months at this point,1371.87,1372.87
it's been really inspiring you guys are keeping me motivated so thank you for that,1373.44,1376.76
I've been loving everyone tuning in to all the workouts,1377.059999,1379.68
alright last one,1380.59,1381.46
okay,1382.37,1382.81
now we're gonna go back,1383.549999,1384.73
into the ground,1385.0,1385.889999
and similar to our you eccentrics that we did with our push ups and our split squat,1386.939999,1390.09
we're gonna lower them down at my counts,1390.38,1391.9299999999998
you ready,1392.29,1392.7
here we go pull,1393.27,1393.85
lower down four,1394.349999,1395.21
three,1395.92,1396.3100000000002
two,1396.87,1397.27
one switch,1397.74,1398.46
lower down,1399.21,1399.69
four,1399.92,1400.23
three,1400.929999,1401.219999
two,1401.92,1402.22
one,1402.809999,1403.139999
switch so nice and slow pretend like you're pushing something,1403.34,1406.43
that's invisible into the ground switch,1406.65,1408.54
lower down slow four,1408.79,1410.3000000000002
three,1410.92,1411.35
two,1411.86,1412.2300000000002
one like matrix style like you're like pushing something away from you but you can't see it,1412.7,1417.17
I know you can see it but I can right,1417.969999,1419.59
stay with me up,1421.119999,1422.12
drive the elbows back towards your hips,1422.84,1424.37
you're doing great come on,1425.08,1426.3
up,1427.48,1427.5
come on,1429.33,1429.49
come on,1431.929999,1432.289999
Anthony I hope you're still,1434.48,1435.629999
with me,1435.83,1436.249999
well dancing to the music,1436.49,1437.73
I know you can you can get the little dance breaks in between,1437.98,1440.099999
one more up,1440.41,1441.09
and relax,1443.08,1443.9299999999998
so super Sam always killing it love you girl,1444.69,1447.2900000000002
alright,1447.75,1448.2
so now we're going up to those hinges,1448.8,1450.2099999999998
so you ready,1450.7699999999998,1451.31
