ORIGINAL_WORD,GENTLE_GENERATED,START_TIME,END_TIME
a,a,485.359999,485.449999
site,site,485.449999,485.689999
playing,playing,485.71999900000003,485.96999900000003
then,then,486.139999,486.299999
kick,kick,486.299999,486.58999900000003
the,the,486.59,486.72999999999996
top,top,486.74,487.0
light,light,487.0,487.21
in,in,487.21,487.29999999999995
front,front,487.3,487.52000000000004
of,of,487.52,487.65999999999997
you,,,
then,,,
bring,bring,488.29,488.57
the,the,488.57,488.69
leg,leg,488.69,488.94
back,back,488.94,489.29
and,and,489.36,489.44
get,get,489.45,489.78999999999996
into,into,489.82,490.15
a,a,490.15,490.22999999999996
tabletop,tabletop,490.23,490.83000000000004
position,position,490.83,491.38
and,and,491.45,491.69
kick,kick,491.69,491.99
the,the,491.99,492.12
other,other,492.12,492.4
leg,leg,492.4,492.59999999999997
up,up,492.64,492.9
touching,touching,492.91,493.3
your,your,493.3,493.33
hand,hand,493.33,493.44
if,if,493.94,494.11
this,this,494.16,494.36
is,is,494.36,494.52000000000004
too,too,494.52,494.71
hot,hot,494.71,495.03
you,you,495.03,495.10999999999996
can,can,495.11,495.23
do,do,495.23,495.38
a,a,495.41,495.5
side,side,495.5,495.75
plank,plank,495.83,496.10999999999996
hole,hole,496.11,496.43
now,now,515.48,515.73
let's,let's,515.73,515.96
do,do,515.96,516.08
the,the,516.08,516.23
same,same,516.23,516.53
on,on,516.57,516.75
the,the,516.75,516.93
other,other,516.95,517.1500000000001
side,side,517.15,517.18
do,do,517.75,517.92
it,it,517.92,518.04
slow,slow,518.049999,518.4599989999999
and,and,518.53,518.74
steady,steady,518.74,519.17
if,if,519.17,519.1899999999999
you,you,541.8499999999999,542.05
need,need,544.049999,544.169999
to,to,544.17,544.1899999999999
the,the,544.26,544.4
exercise,,,
now,now,550.469999,550.8099990000001
we,we,550.82,550.9300000000001
have,have,550.929999,551.1099989999999
walking,walking,551.11,551.63
plank,plank,551.7,552.1700000000001
walk,walk,552.57,552.82
both,both,552.8600000000001,553.0400000000001
legs,legs,553.0400000000001,553.09
and,and,553.46,553.64
hands,hands,553.639999,553.919999
a,a,554.03,554.06
site,site,554.059999,554.3199989999999
to,to,554.389999,554.489999
site,site,554.49,554.8100000000001
make,make,554.889999,555.109999
sure,sure,555.11,555.35
your,your,555.349999,555.529999
butt,butt,555.58,555.7800000000001
is,is,555.83,556.0
not,not,556.049999,556.259999
poking,poking,556.309999,556.669999
up,up,556.67,556.8499999999999
and,and,556.91,557.0699999999999
squeeze,squeeze,557.289999,557.679999
those,those,557.8399989999999,558.029999
abs,abs,561.519999,561.5899989999999
let's,let's,585.42,585.62
take,take,585.62,585.84
a,a,585.84,585.9300000000001
quick,quick,585.929999,586.1999989999999
15,<unk>,586.469999,586.529999
second,,,
break,break,586.87,587.29
you,you,587.29,587.31
can,can,587.309999,587.4499989999999
also,also,587.45,587.82
take,take,587.82,588.0200000000001
a,a,588.02,588.06
longer,longer,588.059999,588.299999
break,break,588.3,588.63
if,if,589.21,589.26
you,you,595.49,595.51
want,want,597.809999,597.989999
to,,,
let's,,,
do,,,
some,,,
squats,,,
oblique,oblique,598.16,598.51
crunch,crunch,598.53,598.86
for,for,598.88,599.07
another,another,599.12,599.45
30,<unk>,599.56,599.8499999999999
seconds,seconds,599.85,600.35
squat,squat,600.72,600.86
low,low,600.87,601.08
guys,guys,601.08,601.45
work,work,601.57,601.83
those,those,601.85,602.09
legs,legs,602.19,602.36
and,,,
back,,,
and,and,603.059999,603.189999
also,also,603.19,603.4000000000001
your,your,603.4,603.52
abs,abs,617.76,617.9499999999999
now,now,630.68,630.91
squat,squat,630.98,631.22
a,a,631.4,631.49
little,little,631.49,631.9
and,and,631.9,632.1
take,take,632.1,632.34
a,a,632.34,632.38
little,little,632.38,632.63
hop,hop,632.63,632.89
with,with,632.89,633.11
one,one,633.11,633.33
leg,leg,633.33,633.45
to,,,
the,,,
side,,,
for,for,634.14,634.3199999999999
low,low,634.33,634.57
impact,impact,634.57,634.97
you,you,634.98,635.09
can,can,635.09,635.24
just,just,635.24,635.45
take,take,635.57,635.7700000000001
a,a,635.77,635.84
step,step,635.84,636.2
without,without,636.2,636.5200000000001
the,the,636.52,636.63
hop,hop,636.63,636.92
we're,we're,665.799999,665.899999
shuffle,shuffle,666.07,666.45
crunch,crunch,666.61,667.0500000000001
next,next,667.13,667.54
shuffle,shuffle,667.74,668.15
to,to,668.15,668.28
one,one,668.28,668.51
side,side,668.52,668.73
and,and,668.77,668.93
crunch,crunch,668.99,669.47
and,and,669.85,669.9300000000001
then,then,669.93,670.04
to,to,670.04,670.1899999999999
the,the,670.4,670.42
other,other,670.42,670.56
side,side,670.56,670.9599999999999
you,you,671.3599999999999,671.4899999999999
can,,,
do,do,671.66,671.8399999999999
just,just,671.84,672.14
a,a,672.14,672.18
crunch,crunch,672.18,672.6099999999999
only,only,672.64,673.05
for,for,673.1,673.21
the,the,673.21,673.32
low,low,673.32,673.49
impact,impact,673.49,673.89
version,version,674.0,674.44
next,next,701.87,702.0200000000001
work,work,702.0200000000001,702.0500000000001
in,,,
Mount,,,
jump,jump,702.67,702.9699999999999
and,and,702.99,703.2
bring,bring,703.2,703.44
both,both,703.44,703.6300000000001
of,of,703.72,703.84
the,the,703.84,703.9300000000001
legs,legs,703.93,704.1999999999999
out,out,704.31,704.53
and,and,704.77,704.88
then,then,704.88,705.06
in,in,705.11,705.42
do,do,705.49,705.61
it,it,705.61,705.79
fast,fast,705.82,706.21
but,but,706.21,706.4200000000001
make,make,706.42,706.65
sure,sure,706.65,706.91
you,you,707.28,707.3
are,are,707.3,707.31
doing,doing,707.31,707.43
it,it,707.43,707.53
in,in,707.5799999999999,707.74
good,good,707.74,707.9699999999999
form,form,708.05,708.39
core,core,708.9,709.15
tight,tight,709.15,709.52
back,back,709.73,710.04
neutral,neutral,710.04,710.53
and,and,710.56,710.74
all,all,710.81,711.0899999999999
muscles,muscles,711.1,711.62
activate,activate,711.9,712.23
it,it,712.23,712.38
for,,,
low,low,713.08,713.25
impact,impact,713.25,713.7
just,just,713.7,713.9000000000001
bring,bring,713.92,714.1899999999999
one,one,714.19,714.37
leg,leg,714.37,714.5600000000001
out,out,714.61,714.8000000000001
at,at,714.83,714.98
one,one,714.98,715.21
time,time,715.219999,715.5499990000001
and,and,715.58,715.7900000000001
bring,bring,715.79,716.01
them,them,716.009999,716.139999
back,back,733.729999,733.759999
in,in,733.759998,733.779998
now,now,736.0,736.28
let's,let's,736.309999,736.559999
do,do,736.559999,736.759999
some,some,736.76,737.03
standing,standing,737.059999,737.539999
crunches,crunches,737.559999,738.1999989999999
we,we,738.35,738.5
are,are,738.5,738.57
almost,almost,738.690001,739.1500010000001
done,done,739.189999,739.279999
with,with,739.43,739.54
the,,,
workout,,,
guys,guys,739.94,740.2600000000001
keep,keep,740.33,740.58
pushing,pushing,740.74,740.96
we,we,768.1600000000001,768.2900000000001
have,have,768.2899990000001,768.3999990000001
lateral,lateral,768.449999,768.859999
lunge,lunge,768.859999,769.1799990000001
we've,we've,769.23,769.44
jumped,jumped,769.4399990000001,769.769999
next,next,770.109999,770.3099990000001
bring,bring,770.48,770.52
one,one,770.77,770.9499999999999
leg,leg,770.95,771.12
to,to,771.12,771.23
the,the,771.23,771.33
side,side,771.7,771.73
and,and,771.73,771.86
lash,lash,771.86,771.89
down,down,772.199999,772.609999
then,then,772.619999,772.869999
climb,climb,773.01,773.1
back,back,773.1,773.3100000000001
up,up,773.309999,773.4799989999999
to,to,773.49,773.59
the,the,773.59,773.69
center,center,773.690001,774.1600010000001
and,and,774.199999,774.3899990000001
jump,jump,774.33,774.6700000000001
up,up,775.5600000000001,775.6300000000001
below,below,775.6300000000001,775.71
impact,impact,775.88,776.26
just,just,776.43,776.6899999999999
two,two,776.69,776.84
letter,letter,776.84,777.13
lunch,lunch,777.16,777.4599999999999
only,only,777.65,777.87
without,without,777.93,778.3399999999999
the,the,778.34,778.45
jump,jump,778.45,778.75
let's,,,
do,,,
the,,,
same,,,
on,,,
the,,,
other,,,
side,,,
we're,,,
plank,plank,838.76,839.05
will,will,839.05,839.15
show,show,839.15,839.4599999999999
the,the,839.46,839.6
tap,tap,839.599999,839.9199990000001
next,next,840.259999,840.429999
do,do,840.49,840.69
it,it,840.69,840.85
fast,fast,840.9,841.37
and,and,841.509999,841.579999
keep,keep,841.58,841.83
your,your,841.83,841.97
core,core,842.11,842.39
engaged,engaged,842.41,843.0
try,try,843.24,843.53
not,not,843.53,843.56
to,to,843.69,843.8100000000001
sway,sway,843.809999,844.2399989999999
too,too,844.24,844.5
much,much,844.5,844.84
and,and,844.93,845.05
we,,,
have,have,845.09,845.27
one,one,845.33,845.64
more,more,845.65,845.86
exercise,exercise,845.92,846.53
to,to,846.53,846.66
go,go,846.699999,846.759999
let's,let's,847.44,847.8100000000001
finish,finish,847.82,848.1400000000001
this,this,848.14,848.18
workout,workout,859.93,859.9799999999999
the,the,873.44,873.59
final,final,873.639999,874.029999
exercises,exercises,874.03,874.73
Heine,heine,874.79,875.24
bring,bring,875.849999,876.089999
up,up,876.09,876.24
your,,,
knee,knee,876.59,876.61
up,up,876.639999,876.829999
to,to,876.83,876.95
hips,,,
level,level,877.28,877.7099999999999
do,do,877.809999,878.009999
it,,,
as,,,
fast,,,
as,,,
you,you,878.71,878.82
can,can,878.87,879.21
core,core,879.42,879.6899999999999
tight,tight,879.69,880.11
and,and,880.209999,880.239999
we'll,we'll,880.25,880.43
only,only,880.5,880.84
have,have,880.85,881.0500000000001
a,a,881.08,881.1700000000001
couple,couple,881.17,881.49
of,of,881.49,881.51
more,more,881.529999,881.799999
seconds,seconds,881.799999,882.189999
to,to,882.190001,882.330001
go,go,885.250001,885.470001
that's,that's,908.38,908.62
the,the,908.62,908.75
workout,workout,908.750001,908.980001
guys,guys,909.15,909.43
who've,who've,909.429999,909.4599989999999
done,done,909.8,910.17
well,well,910.179999,910.529999
don't,,,
forget,,,
to,,,
smash,,,
that,,,
like,,,
button,,,
subscribe,,,
internal,,,
applications,,,
so,,,
that,,,
you,,,
don't,,,
miss,,,
out,,,
on,,,
my,,,
new,,,
program,,,
and,,,
I'll,,,
see,,,
you,,,
in,,,
the,,,
next,,,
workout,,,
bye,,,
