PHRASE,START,END
so like I said the harder version,409.7,411.1
start,412.23,412.45
jumping around,412.67,413.59
and you can always mix it,416.89,417.9
so if you're here and you,418.22,419.26
start to get winded,419.51,420.41
well your motions start to get sloppy,420.99,422.62
take it back down,422.98,423.85
and,424.139999,424.569999
honestly,425.66,426.2600000000001
the combination of both is a really,427.15,428.72
great way to make pretty much any routine you work for yourself and,429.28,432.67
to improve your fitness really well because you can always,433.129999,435.62
alter it modify it and push yourself when you need to and then lay back,436.09,439.85
when off in intensity a little bit but you're not stopping,440.8,442.98
just five seconds left,445.88,446.99
all right,451.29,451.7
so we're doing that,452.08,452.72
lunge with rotation,453.21,454.39
like I said,455.71,456.41
even more bit challenge step up,458.32,459.509999
your best best intervals,459.839999,462.19
two,464.44,464.86
one,465.309999,465.779999
here we go sit down,466.5,468.11
turn to each side,469.299999,470.36
come back up,470.72,471.48
so after this point of the routine now that you're nice and warmed up,474.68,477.359999
you can also make it quite a lot harder by adding weight so,478.77,481.079999
holding onto weights while you do this kind of stuff makes it a lot more difficult,482.25,485.1999990000001
got about 20 seconds left,490.99999900000006,492.32
ten,503.06,503.5
five,507.159999,507.699999
right,511.789999,511.989999
next up we're doing two jumping jacks plus a lateral,512.929999,515.37
jump here,517.69,517.9
so this is one of those exercises to make you feel a little bit uncoordinated but that's the whole point,520.049999,524.38
I'm teaching your brain to pay attention to what you're moving so,525.76,528.0699999999999
two jumping jacks plus,528.39,529.7099999999999
from,530.76,530.79
the center,531.51,531.96
do your jobs,532.5300000000001,532.95
here,534.63,535.11
so you'll notice I'm doing,535.62,536.97
my first lateral jump on a different side each time you're going to want to do the same,537.69,541.54
so if I jump,549.94,550.52
last here,550.75,551.45
you jump right first the,552.59,554.1
next time I'm going to get more comfortable sky to jump further and further on each side,557.0400000000001,568.76
to,569.8,570.14
one,570.7,571.0500000000001
my right next up,571.99,573.1
yeah,573.33,573.8000000000001
push it up Plus reach,574.379999,575.569999
Oh,575.940001,576.250001
drop down your,576.95,577.5
match is about 105 seconds left,578.43,583.53
here we got us up do the harder version push up they can,585.94,589.3100000000001
tap your foot behind you,590.509999,591.409999
come back down,591.849999,592.4899999999999
do another,593.4599999999999,593.7599999999999
pushup,594.1,594.11
turn the other way,595.4,596.0600000000001
so,596.34,596.7
not only are you getting all all the benefits of the push ups there are,597.76,600.5100000000001
tons,600.8800000000001,601.3900000000001
there's hardly any muscles you're not working during push up,602.0000000000001,604.42
also getting,605.37,606.0
extra butt work,607.799999,608.829999
the extra of core work,609.2799990000001,610.1800000000001
because of that rotation,610.73,611.75
is just a few minutes away from one great,616.66,618.18
five,625.99,626.28
seconds,626.5899999999999,626.85
all right,632.38,632.6999999999999
jump back,633.3,633.72
up those,635.78,636.25
lateral jumps plus jacks,636.46,637.69
always remember,639.66,640.34
make that,641.25,641.51
the rest as hard as you need to,641.8,643.179999
you can do burpees if you want,644.12,645.4300000000001
be my,646.32,646.749999
guest jumping jacks,647.879999,649.05
make sure you're not holding your,657.66,658.4300000000001
back,658.96,659.0600000000001
remember it's always okay if,661.7,662.89
you're really struggling take an extra break,664.32,666.5200010000001
quick drink of water,668.26,669.09
you can come right back into it,669.38,670.64
just don't walk away from it,672.08,673.25
three,689.16,689.51
two,689.97,690.28
one,690.93,691.3
rest,696.9599999999999,697.41
take some deep breaths,699.77,700.77
you can start doing push ups right now if you want to take out that,701.469999,703.8100000000001
I'm,704.93,705.28
older,705.75,706.12
I started up pushup,707.37,707.9499999999999
keep your core pulled in,717.849999,719.1899999999999
try to keep your spine aligned,720.279999,721.7199999999999
move back left,723.08,723.83
about half way got about ten seconds left,729.49,742.93
to,749.759999,750.289999
run,751.0,751.39
okay,753.37,753.85
so here's your water break keep your feet,754.859999,756.95
moving don't go away,758.0500000000001,758.24
too far and,758.5,758.83
start,759.13,759.34
right back in in just a minute alright we're ready to tackle the second half of this routine we're doing the same thing,761.08,777.84
we're starting off,778.11,778.76
for Swiss foot jumps plus a squats okay go ahead get your feet moving,779.05,782.67
we'll be doing,783.57,784.19
some,784.45,784.88
fun cardio here so one two three four drop down first,786.02,790.36
drop in the middle one two so try to leave a different foot,793.27,795.74
each time,796.18,796.9100000000001
so,805.0099990000001,805.0299990000001
make sure you're sinking down keep your back flat for that squat,806.66,809.3099990000001
keep your weight in heels,810.6,811.6099999999999
try to land soft on your feet for those jumps,812.66,815.05
about five seconds left,827.119999,828.14
alright,832.65,833.04
next up we have plank jack lifts so,833.54,835.8600000000001
this did you know a,837.0200000000001,837.8600000000001
soft surface but,839.95,840.919999
actually,841.29,841.6999999999999
I'm using my,842.34,842.94
feet so,843.349999,844.009999
your toes,845.709999,846.299999
otherwise you're here,847.429999,848.3199999999999
take your leg up as high as you can,848.59,850.08
he's the other leg up as high as you can no,850.37,852.65
three jacks,853.29,853.8
repeat,855.139999,855.659999
this time leading with the different leg,855.95,857.42
squeeze those gluts,858.11,859.1
try to pull in your core,860.46,861.819999
again you're working your entire letting,863.549999,865.1
this,880.01,880.14
five,886.7,887.2
to,890.3,890.68
one,891.179999,891.5799989999999
right back to those flutter kicks,892.34,894.19
or those switch foot jumps,894.66,895.64
with the spots,895.9,896.33
remember,899.549999,899.999999
make that the rest as hard as you need you,900.24,902.11
three,904.26,904.71
two,905.32,905.65
one here we go so,906.16,907.64
one two three four,907.92,909.55
down,909.8,910.22
take a break me too,929.41,930.659999
three,931.69,931.76
two,950.19,950.58
one,951.12,951.5
alright,951.82,952.29
check down the mat for doing those plank jacks again,952.859999,955.29
so do it this way so you can see what my legs are doing,956.33,958.94
back,959.89,960.1
here,960.55,960.75
five seconds left,962.54,963.92
here we go,966.96,967.529999
two jacks,968.11,968.58
lift,1002.870001,1002.990001
next up we're doing a lunge,1014.53,1015.71
plus a bow,1016.25,1016.92
ten seconds rest here,1018.809999,1019.75
down,1028.74,1028.91
top,1029.27,1029.69
here,1030.04,1030.51
up,1030.83,1031.13
back up switch feet,1031.91,1032.93
down,1034.0700000000002,1034.51
over halfway right here,1050.17,1051.46
seven seconds,1062.109998,1062.799999
two,1070.42,1070.84
one,1071.63,1072.0700000000002
all right,1072.5,1072.9
drop down to the floor,1073.36,1074.229999
you'll be doing side hip raises so I'm going to start out on my right side,1074.719999,1078.46
the next,1079.82,1080.15
roll on my left so whichever way you do it remember so you don't end up ignoring on your side,1080.4,1084.68
two,1085.44,1085.84
one,1086.25,1086.78
here we go all right so up it's rising up three we hit,1087.39,1091.0099999999998
do you,1091.4599999999998,1091.4999999999998
want to make this harder,1092.58,1093.509999
you can go,1093.9,1094.63
on your toes,1095.349999,1096.0
just,1096.67,1096.71
like,1097.24,1097.42
this otherwise,1101.07,1101.57
stand on your knees just,1101.88,1103.03
crunch upwards,1106.21,1107.24
try to keep this elbow joint right underneath your shoulder,1110.49,1113.56
turn that this slide,1114.25,1115.21
she feeling this in this hip,1118.28,1120.06
when this outside thigh as long as this thigh,1120.71,1123.2
and of course,1123.55,1124.19
your knees,1125.11,1125.679999
about five seconds left,1127.05,1128.34
all right,1133.2099999999998,1133.36
jump up,1133.609999,1134.12
can you do those,1135.189999,1136.0700000000002
weird bows again,1136.41,1137.5500000000002
there's one's about,1137.97,1138.77
alright,1142.21,1142.31
so hands over head,1146.759999,1147.64
lunge forward,1148.509999,1149.24
I'm down to the floor,1149.799999,1151.04
come back up,1151.51,1152.21
start it over on the other side,1153.13,1154.5300000000002
about ten seconds left all,1181.59,1182.64
right so remember which side you're on last time,1192.5699989999998,1195.04
go ahead and lay down on the opposite side,1196.01,1197.5
doing those hip raises again,1198.91,1200.22
and then after this thing we have,1202.58,1203.64
one more group left before I pull down,1204.129999,1205.8200000000002
you go,1207.62,1208.0400000000002
up,1209.7600000000002,1210.14
I keep it nice and steady never really rest on the ground you're only hovering here so your muscles stay contracted the entire,1211.4800000000002,1216.8100000000002
time,1224.9600000000005,1224.9900000000002
that's halfway,1231.47,1232.25
10,1237.52,1237.7
seconds left,1242.95,1243.51
3 2 1 right next up we're doing,1249.83,1253.47
the,1254.31,1254.33
supine plank reach so,1254.799999,1256.01
this one's kind of fun we're gonna start on one side I'm going to start with this leg straighten out,1256.839999,1260.569999
so,1261.03,1261.43
the resting point of this motion,1261.64,1262.92
is tucking your hand in right here,1263.3,1264.63
and then we're gonna press up so we get,1265.05,1266.59
a lot of glute work on each side,1267.03,1268.88
stretch before you tuck that down again you're not resting here you'll be hovering,1269.599999,1273.149999
before you push back,1273.74,1275.13
up so,1275.8100000000002,1275.85
you should feel it in your thighs your upper body,1276.709999,1279.0
your glutes and your lower back,1279.51,1281.38
try to use really smooth movements,1288.94,1291.09
about 15 second flush,1298.52,1299.72
right,1312.959999,1313.3299989999998
next up we have squats,1314.119999,1315.48
plus side lifts,1316.3,1317.23
so,1318.5,1318.92
then do a lift on each side in between their squat,1320.44,1322.7799999999995
here we go,1327.37,1327.799999
squat,1328.139999,1328.769999
there we go,1329.54,1329.9599990000002
well actually we'll just do one sorry I lied,1330.26,1332.13
so squat and then come right back up,1332.5,1334.59
with your weight in that leg so you're actually doing a lot more work each time,1334.92,1338.3000000000002
on one of your legs so it's a good way to build strength,1338.68,1341.15
and balance,1341.7,1342.49
and if you need to you can hold on to something while you do this but if you're not,1343.67,1346.6
it definitely takes a lot of core work,1346.849999,1348.73
honestly something like this is,1349.35,1351.06
a million times better for your abs than any kind of crunch you could ever think of,1351.51,1355.94
ten seconds left,1363.54,1364.379999
so,1374.41,1374.77
whichever leg you had extended last time,1375.32,1377.37
is coming in,1378.32,1379.0
oh,1380.799999,1380.879999
yeah sorry to do opposite leg position,1381.17,1383.19
so we're tacking it on this side this time,1383.929999,1385.76
here we go so we press the up,1387.22,1388.68
come back down,1389.76,1390.4599999999998
I remember not to let your,1391.93,1393.29
body the rocks look around completely,1393.53,1395.25
remember to keep breathing it's really easy to hold your,1401.67,1403.8100009999998
breath,1404.250001,1404.5600009999998
here,1413.15,1413.5700000000002
squeeze the,1415.44,1416.26
top,1423.26,1423.33
two one all right when it relaxed we've got 15 seconds,1431.069999,1435.55
and then one more active interval,1436.36,1437.95
then a cool down and you'll get your workout complete for the day,1439.049999,1442.25
to keep moving,1443.78,1444.43
from our squat plus,1445.6,1446.65
I like this,1447.13,1447.42
here we go,1448.52,1448.809999
so down,1449.04,1449.73
lift up I'm trying to make this as controlled as you can,1450.51,1453.599999
you don't want to be just,1453.969999,1454.88
throwing it up there,1455.339999,1456.24
you don't use monitoring you and control the entire time,1456.6,1459.26
no cheating,1459.98,1460.57
it's tempting,1462.59,1463.2
right just about 20 seconds left,1471.12,1473.9499999999998
five seconds,1487.41,1488.3
all,1492.77,1492.79
right,1493.48,1493.95
that does it,1494.44,1495.039999
for your cardio,1495.799999,1496.56
I'm gonna bring our heart rate down,1496.86,1498.11
and stretch out those muscles,1499.06,1500.25
so,1500.72,1501.06
keep your feet moving for a second,1502.139999,1503.5800000000002
just some nice deep breaths here,1504.96,1506.39
all right,1513.459999,1513.969999
clean your feet,1514.68,1515.32
nice and slow stretch overhead,1516.68,1518.49
stretch as far as you can for the entire way,1519.7,1522.81
it all the way the top,1523.63,1524.57
now lean to one side,1525.82,1527.129999
ever so slightly,1527.66,1528.69
gently as far as you can,1529.279999,1530.96
no the other,1532.23,1532.9
more time on each side,1537.54,1538.88
next we're gonna swing down,1546.4,1547.679999
and then it's circle towards one of our toes,1548.190001,1550.0
so,1550.96,1551.35
slowly,1551.66,1552.59
stretching the entire way down to one toe,1553.71,1556.52
then walk slowly over to the other,1557.27,1559.69
I'll come back up,1562.87,1563.6
so whatever your range of motion is you have to respect it and never push it stretch to where it hurts,1565.469999,1570.0600000000002
move nice and slow always,1570.78,1572.5800000000002
no bouncing to try to get more range of motion just,1573.7,1576.41
doodle you can,1577.259999,1577.9599999999998
do that once more,1579.5599999999995,1580.3300000000002
so you should feel this in your lower back and the back to your thighs,1585.129999,1588.17
now go down once more opposite direction,1592.21,1594.54
alright,1603.3,1603.89
now were to go into a warrior on one side,1604.55,1606.85
so one foot pointed forward,1607.3,1608.89
when perpendicular,1609.91,1610.91
arms out,1612.37,1613.01
I mean into it as much as you need you to feel stretch,1613.219999,1615.609999
take a couple nice deep breaths here,1620.68,1622.46
and tip forward so,1625.26,1626.64
rest your arm on your thigh,1627.14,1629.109999
arm straight up,1629.82,1630.67
stay here for a couple,1632.7,1633.799999
breaths,1634.049999,1634.159999
alright now,1640.969999,1641.58
fold forward and rotate,1642.17,1643.76
your deep runners lunge go down as far as you need to to get a good stretch,1644.16,1647.64
feel this in your groin here blows through these aside,1648.96,1652.65
slowly up,1660.36,1661.0
straighten that,1661.91,1662.5
leg but,1662.89,1662.95
keep reaching for that toe now you're gonna feel this through the back of this side that's straight now,1663.52,1667.75
come back up,1675.55,1676.23
same thing on the opposite side so point this what's for,1677.39,1680.66
this one in line with your hands,1681.7,1683.49
lean forward as much as you need to you to get a good stretch,1684.67,1687.2200000000005
right now,1697.14,1697.39
tilt forward,1697.69,1698.41
straight in,1699.35,1699.62
here,1699.91,1700.59
open your chest up a nice stretch,1702.349999,1704.72
going forward over this foot,1714.82,1716.1699999999998
that deep lunge,1716.96,1718.14
and,1727.01,1727.12
straighten that way,1727.529999,1728.569999
which is breaching,1729.999999,1730.489999
for that toe,1730.75,1731.5
all right you know come back up,1744.119999,1745.31
we stretch out the front of,1746.6,1747.629999
those thighs quadriceps so,1747.959999,1749.82
you need to hold onto the wall for balance that's fine otherwise,1750.32,1753.02
pull your foot up as far as you need to get a stretch to the front of your thigh,1753.38,1756.3199989999998
switch sides all right,1771.609999,1772.639998
now if you've got an open wall,1788.09,1790.05
or anything to rest your hand against we're gonna do a chest stretch,1790.639999,1793.39
so,1793.95,1794.36
place your hand against the wall,1794.61,1795.899999
straighten your arm and then slowly rotate away until you feel stretch all through here,1796.509999,1800.72
you know make sure you drink lots of water after this,1814.78,1817.299999
just lost a lot of water through,1817.75,1819.27
our workout,1819.97,1820.61
we need to rehydrate as soon as you can,1820.91,1823.12
alright switch sides so,1826.9,1828.36
opposite hand rotate away,1829.69,1831.5
you feel a good stretch,1832.37,1833.75
right,1837.58,1837.73
now let's walk,1851.08,1851.72
down into a plank,1852.83,1853.96
nice and slow,1854.74,1855.77
I'm doing that stretch,1857.03,1858.11
and you're way up there,1858.52,1859.85
now,1862.75,1863.12
you're gonna stay here and kind of walk so,1863.63,1866.049999
put your weight in one leg lift the other off the ground so you're,1866.7,1869.84
pressing your heels down towards the mat as much as you can to try to get a good cat stretch,1870.18,1874.19
and switch keep it a nice fluid movement,1874.84,1877.28
just hold it for a few seconds,1878.17,1879.59
each,1879.92,1880.12
all right oh come down,1896.039999,1897.04
this away,1897.38,1898.21
deliver yourself to that man,1898.84,1900.079999
put your feet over,1902.389999,1903.49
and press up for a cobra stretch,1903.969999,1906.07
now push back,1919.88,1920.749999
hold over onto yourself,1922.809999,1923.94
or Child's Pose so,1924.65,1925.599999
you should feel this through your shoulders as well as your lower,1927.17,1929.85
back okay,1948.409999,1948.47
let it relax,1948.979999,1949.85
okay guys,1951.05,1951.95
that's it for this workout,1952.2,1953.72
you made it all the way through congratulations I hope you'll come back and work out with us tomorrow,1954.19,1958.74
