PHRASE,START,END
whoo last ,229.17,229.93
all ,230.7,231.54
so warm ,232.199999,232.780001
feeling ,233.109999,233.629999
we're gonna go to a nice little core set to start we're gonna hit three different ,234.039999,237.85
and we're going three times ,238.08,239.76
I'll give ,240.03,240.62
one version for the first round and then each round I'll add on a little ,241.34,245.349999
so first up we're gonna bring those shoulder blades off the ,245.61,248.199999
we lower our legs to the lowest point we can keep that Mahalo in our ,248.4,251.81
you ,252.039999,252.46
join me now 30 seconds ,252.83,254.57
shoulder blades off the ,254.84,255.96
big ,256.87,257.86
,258.31,258.59000000000003
,259.23,259.39000000000004
yeah okay so with these if you feel like they're feeling pretty challenging for you you can even bend those knees a little ,262.28,268.489999
shorten that lever or you can even bring the legs up a little bit ,268.84,271.81
but whatever you're doing try to keep that ,272.11,274.03
in your ,274.35,275.14
keep a lot of ,275.42,276.46
shoulder blades off the ground get that ,276.78,278.97
,279.32,279.7
,280.21,280.56
one relax all right lay ,280.95,283.199999
now you can bend those ,283.44,284.73
the fingertips are ,285.27,286.73
grazing the back of your heels here you're gonna peel your hips off the ,287.15,290.55999999999995
and then you're gonna dig one heel to the ground as you bring one knee to your ,291.18,294.4
and then switch it out join me if you haven't ,294.79,297.459999
use ,298.03,298.36999999999995
hands on the ground to give you some ,298.65,300.87
give you a little ,301.11,302.149999
because you want to keep the ,302.67,303.919999
nice and stable as you're moving through ,304.15,306.37999900000005
and really thinking about keeping the ,306.65,308.18
,308.6,309.07000000000005
and the ,309.31,309.78000000000003
tucked ,310.06,310.66
so ,311.17,311.92999999999995
yeah build that tension through the ,312.53,314.44
few more ,316.32,316.97
last ,318.309999,318.94
,319.83,320.46
,320.82,321.41
all right now we're gonna bring ourselves into a bear position so ,321.89,325.23
swing it on ,325.49,326.57
knees underneath the ,327.11,328.17
hands press into the ,328.8,330.21
we're ,330.41,330.82000000000005
hover those ,331.04,331.81
nice and easy off the ,332.28,334.02
so look right past those ,334.25,336.1
keep that tailbone ,336.37,337.47
it nice and ,337.74,338.549999
so nice active ,339.65,341.129999
I want you to pretend like you're pushing the ground away from you ,341.35,344.23999999999995
whoo ,346.2,346.54
,346.81,347.29
and I know my girl Kirstie Gotso is was working out with us this ,347.8,350.99
you get to catch her next week again ,351.389999,353.24
I know we've been loving her ,353.719999,355.15
outs and ,355.36,355.48
hot sauce ,355.91,356.65
and I know she's had her wake and drink coffee already this ,357.39,360.089999
we've got ,360.76,361.67
,362.21,362.29
one and ,363.93,364.99
all right we're going back to those hollow holds but this time we're gonna change it up a little ,365.67,369.55
if you feel pretty good on these we're gonna tap ,369.92,372.719999
and the tap behind your ,373.07,374.37
tap ,374.589999,375.209999
tap behind your head join me if you haven't ,375.53,377.659999
I want you to try to get those biceps by those ,378.23,380.55
so ,381.1,381.9
keeping that hollow through your ,382.42,384.05
keeping it nice and ,384.4,385.8
slow ,386.76,387.69
,389.2,389.61
come ,390.15,390.64
ten seconds come on ,391.54,392.58
we're doing this ,392.88,393.86
whatever level you're ,394.190001,395.29
you and me together let's ,395.799999,396.99
last ,397.37,398.13
,398.91,399.3200000000001
,400.01,400.16
,400.81,401.26
woohoo all right bridge march ,402.49,404.17
so again peeling the hips off the ,404.83,406.4
,407.099999,407.429999
into the ,407.94,408.72
,409.16,409.54
,410.03,410.4
,410.799999,411.139999
let's ,411.54,412.09
bring that knee to ,413.219999,413.97
chest yeah it's nice and easy nice and ,416.13,418.57
if you're feeling pretty ,419.31,420.7
about your stability and you want to challenge yourself a little ,420.96,423.62
you can bring your hands up then you won't have ,424.03,426.06
stability from the ,426.42,427.57
oh and I guess my girl ,428.309999,429.78
our ,430.139999,430.439999
Tracey Copeland is ,430.92,432.48
with ,433.02,433.3
she gave us a ,433.95,434.89
,435.4,435.85
a few weeks ,436.4,437.28
and now she's ,437.88,438.68
in getting our strength ,439.12,439.97
,440.84,441.14
,441.75,441.89
,442.76,442.98
all right relax ,443.49,444.579999
and ,444.819999,445.259999
those hips ,445.469999,446.29
bring it on ,446.96,447.8200000000001
,448.109999,448.689999
we're gonna take ,449.529999,450.269999
and do some shoulder ,450.559999,452.01
with a bare plank ,452.28,453.34
hovering off the ,453.71,454.59
,454.84,455.33
and ,455.81,456.44
,456.98,457.23
,457.6,458.14
something ,458.61,458.81
your hips keep them nice and stable ,459.04,460.489999
you haven't already join me please join ,461.02,463.01
Chrissy how you ,464.4,464.78
how about you ,465.85,466.839999
I love when my fellow Nike master ,467.1,469.21
hang out with me ,469.63,470.58
the work outs let's go almost there we have one more time through after ,471.14,476.99
,477.469999,477.829999
,478.48,478.97
,479.54,479.87
,480.36,480.8
,481.259999,482.239999
all right swing those legs ,484.48,486.33
we're going back to the ,487.38,488.59
,488.89,489.1
but this time if you feel really ,489.58,491.07
we're going to hollow ,491.37,492.58
join me ,492.93,493.68
let's ,494.099999,494.75
remember you can always bring it back in to that hollow hold or just go to the hollow ,495.23,499.41
you take it to your levels I'm giving you ,499.74,502.06
remember this is your workout but we're doing it ,502.43,504.66
come ,505.03,505.41
big ,506.72,507.2000000000001
,508.03,508.22
,508.56,508.58
keep those shoulders off the ,511.04,512.61
keep that hollow let's go five ,513.19,515.45
that's ,517.389999,518.089999
,518.88,519.06
,520.63,520.92
all right last time on the bridge ,522.209999,523.86
if you didn't bring those hands up maybe try it this ,524.17,526.4899999999999
,526.9,527.27
peel those hips off the ,527.91,529.1700000000001
,529.81,530.3599999999999
,530.91,531.2099999999999
,531.71,532.1
all right dig into the ,532.49,534.2
keep that tailbone ,534.71,536.0
keep a nice and ,537.339999,538.53
after this we have our bare ,539.309999,541.29
and then we'll try to get the heart rate up a little bit ,541.6,544.1999999999999
,545.8499999999999,545.9
how you ,546.98,547.6
feeling ,548.23,548.69
I know my mom is ,550.32,551.61
joining us this ,552.2,553.46
,553.98,554.33
specifically went to her studio where she does her ,556.09,559.0500000000001
so she had a little bit of ,559.33,560.8100000000001
to work out so hi ,561.08,562.33
you got five more ,563.31,564.6800000000001
,565.03,565.42
,566.059999,566.169999
,567.13,567.37
alright peel those hips down nice and ,567.71,570.51
let's swing it on ,570.969999,572.15
,574.0,574.69
so now we're going into those bare planks ,575.5,577.6700000000001
,577.98,578.36
two one ,578.58,579.98
tap now I want you to try ,580.37,581.82
,582.0200000000001,582.4300000000001
the opposite ,582.68,583.8000000000001
when you're ,584.24,584.8499989999999
if you feel ,585.11,585.83
or you can just stay ,586.28,587.1700000000001
I'm okay with ,587.61,588.419999
what's up ,588.84,589.7299989999999
good morning to ,590.16,591.21
awesome job ,593.67,595.1
stay strong with ,595.65,596.59
,597.89,598.35
,599.18,599.65
,600.18,600.7399999999999
five more ,601.03,602.26
,602.849999,603.369999
two ,604.869999,605.0599990000001
all right ,605.889999,607.3900000000001
so ,607.799999,608.41
we're standing up push yourself ,608.91,611.009999
we're gonna go to some quick ,611.629999,613.0300010000001
we're just gonna move the feet as quick as we can and when I say ,613.42,616.37
you're just gonna jump your feet forward and jump them ,616.61,618.71
alright so just move as fast as you can ,618.98,620.88
only when I say forward you ,621.19,622.78
we're doing this two times ,623.34,624.86
two one move those ,625.16,626.4499999999999
,627.15,627.53
nice come on ,628.33,629.359999
good so nice and quick ,630.42,631.52
yes you got ,631.96,632.85
,633.12,633.26
keep that chest ,634.0,634.6899999999999
feet moving fast come ,635.26,637.98
come on forward forward yes come ,638.349999,641.2099999999999
,641.65,642.12
,642.559999,642.659999
,643.309999,643.519999
relax all right tap it ,644.139999,645.96
we're gonna try that ,646.73,647.5699989999999
,648.16,648.63
I'm so glad you've been moving with ,649.039999,650.9
keep crushing ,651.31,652.1600000000001
it's so awesome every single week you guys been hanging out with ,652.72,656.1700000000001
working ,656.639999,657.26
really getting after it and being a really great example for everyone around ,657.96,661.05
so thank you for ,661.52,662.43
all ,663.139999,663.45
one more time on the fast feet with a forward jumps ,664.139999,666.8100000000001
,667.07,667.3100000000001
,671.2500000000001,671.3800000000001
let's go forward forward yes forward forward yup come on are you quick ,673.1600000000001,676.0
you quick how can ,676.33,676.81
,680.2199999999999,680.2399999999999
forward forward forward come ,681.3399999999999,681.98
come ,682.28,682.33
,683.1,683.27
two ,683.86,683.93
relax all ,685.6,687.74
how are you ,688.72,689.32
everyone feeling ,690.13,690.83
all right so we're moving into our strength ,691.72,693.26
we are only moving through two different movement patterns push up ,693.84,696.83
so this first round we're going to eccentric so I'm going to cue you down for four ,697.34,702.1400010000001
and ,702.709999,703.21
you're just gonna warm yourself up because the focus ,703.8100000000001,706.18
is the lowering ,706.41,707.3900000000001
you ,707.85,708.2900000000001
join me now and ,708.9,709.99
,710.28,710.4599999999999
one take it down for ,710.82,712.3100000000001
,712.929999,713.4499989999999
,714.07,714.4100000000001
,715.09,715.44
,716.15,716.67
bring it ,717.19,717.58
down ,718.15,718.759999
,719.58,719.99
,720.699999,721.0499990000001
,721.67,722.15
reset keep your body as stiff as you ,722.45,724.9499999999999
down ,725.21,725.86
three push energy through your heels ,726.67,728.6
one ,729.0500000000001,729.32
get three more just like ,730.559999,731.63
come on down ,731.99,732.98
,733.88,734.36
,735.0,735.32
,736.01,736.37
two more let's ,736.859999,737.7
,738.98,739.3100000000001
,739.65,739.88
,740.71,741.09
,741.93,742.27
one last one come on let's get ,742.86,745.1999999999999
,745.79,746.0699999999999
,746.3399999999999,746.4499999999999
,747.27,747.68
,748.41,748.67
,749.39,749.77
and ,750.28,751.15
okay so now we're gonna bring it back to ,752.429999,754.8000000000001
so place the foot on the ,755.219999,756.51
we're gonna bring one leg forward one leg ,757.12,758.77
eccentric split squat ,759.31,760.68
so we're lowering down at my ,760.92,762.8299999999999
then driving through the heel keeping the feet right where they ,763.23,765.369999
join me now here we go down ,765.66,767.11
,767.79,768.13
,768.78,769.1
,769.94,770.08
drive it ,770.42,770.9
down ,771.83,772.41
,773.24,773.54
,774.37,774.5799999999999
one ,775.1899999999999,775.56
keep it at that ,776.95,777.9300000000001
,778.75,779.09
one drive it ,779.72,780.85
if you love this ,781.45,782.769999
by super Sam ,783.01,783.88
super ,784.4,784.99
be sure to check ,785.33,786.41
the Spotify link in the YouTube description so you can listen to it ,786.719999,790.24
,790.690001,791.090001
let's get two more just like that down ,791.6600010000001,793.46
,794.11,794.48
,795.17,795.4399999999999
,796.11,796.46
,796.98,797.25
last ,797.86,797.92
let's go ,798.6,799.18
,799.61,799.81
three ,800.55,801.01
,802.49,802.88
alright switch it up other side keep those hips squared ,803.3,806.13
down ,806.549999,807.249999
,807.94,808.36
,808.94,809.3100000000001
one we're going back to the push up ,809.91,811.64
for this ,813.19,813.99
control ,814.2800000000001,815.1800000000001
so ,815.97,816.46
metrics are ,816.84,817.24
great because you can feel ,817.59,819.31
single muscle in your ,819.62,820.6400000000001
you can make sure you're doing the form ,821.25,823.14
you're not just moving through the motions you're actually being really aware of your ,823.63,826.5400000000001
,826.76,827.06
two more just like ,827.559999,828.5400000000001
come ,829.09,829.3100000000001
,832.32,832.58
,833.26,833.74
reset last ,834.29,835.44
let's go ,835.73,836.4
,836.65,837.09
,837.849999,838.2999990000001
,838.96,839.12
,841.349999,841.489999
,841.84,842.6700000000001
,843.29,843.67
we're going back to the ground our push ups we're changing it up ,844.08,846.359999
we're going into ,846.58,847.53
staggered stance so we're gonna bring ,847.74,849.42
,849.83,850.1600000000001
,850.39,850.87
by ,851.41,852.2099999999999
,852.61,853.11
and one ,853.51,853.99
by our ,854.37,854.859999
so we're gonna go ,855.34,856.23
and then we'll ,856.639999,857.6899999999999
join me ,857.92,858.699999
let's get ,859.059999,859.8199989999999
so ,861.8999989999999,861.939999
,862.379999,862.579999
totally fine to be on your ,862.84,864.34
do ,864.82,865.2800000000001
,865.6,866.0
that challenges you on ,866.33,867.8299999999999
you got ,869.04,869.59
make sure you're ,870.06,870.99
make sure your body's in a straight ,871.42,873.18
we activated our ,873.7,875.02
and our glutes a ,875.259999,876.43
so you want to make sure you're ,876.75,878.1899999999999
,878.509999,878.789999
keeping everything ,879.17,880.51
everything ,880.74,881.48
stay with me ,884.1,884.85
hey it looks like we have more than 1 ,886.72,887.75
people working out with us ,889.14,890.77
let's keep getting it come ,891.1,892.26
,892.75,892.79
get one ,894.44,895.0899999999999
,895.389999,895.5699989999999
was ,898.389999,898.7999990000001
let's bring ourselves ,899.43,900.12
we're going to a staggered stance squat now so before we're in a split squat almost like a ,901.09,906.11
now we're just going more of a staggered ,906.32,908.27
and just going down and up at a good ,908.55,910.29
join me now here we ,910.79,911.89
we're staying at the same ,912.25,913.8
we'll switch ,914.16,914.98
so go in a tempo that feels good for ,915.23,917.16
so ,917.719999,918.339999
my front toe or my back ,918.65,920.04
is in line with the back ,920.64,921.95
I'm focusing on driving my knees ,923.45,925.13
as I sit ,925.71,926.42
chest is ,927.389999,928.14
lower is not necessarily better on ,929.84,931.53
you should ,931.99,932.81
it more in that front leg but you definitely will feel it a little bit in that ,933.23,936.75
especially in that hip ,937.92,938.97
so keep it ,939.58,940.71
keep ,941.25,941.46
,941.85,941.91
you're doing ,942.62,943.42
come on ,943.98,944.76
alright few ,946.35,946.86
,947.8,947.96
,949.14,949.25
alright let's switch it up other side stagger the ,949.67,952.17
chest ,952.91,953.43
sit it ,954.059999,954.62
alright stay with me ,957.0,958.14
drive those knees ,959.01,960.08
go at ,961.03,961.55
tempo ,963.29,963.7
,964.98,965.19
,965.42,965.53
we've been thinking about new ,966.24,968.23
and what ,968.799999,969.35
have had to really think ,969.91,971.279999
this time ,971.93,972.55
changing things and looking at everything as an ,972.98,975.58
you know I'm used to going to the gym and lifting heavy ,975.96,978.36
but what I've been loving is changing the ,978.67,980.24
going faster on some reps maybe slowing down some ,981.4,984.25
some of the movements that I'm so used to picking up heavy ,984.53,986.96
I just use my body and challenge myself in such a different ,987.389999,990.32
and I look at it as a brand new ,990.549999,992.78
so that's my new perspective for this ,993.06,994.92
and for the past few ,995.25,996.47
last ,997.03,997.56
,999.48,999.9
now we're going into a ,1000.71,1002.14
and wide push ,1002.61,1003.42
so everything stays here and then everything stays ,1003.65,1006.32
arms ,1007.0,1007.63
arms wide arms ,1007.940001,1009.33
arms ,1009.63,1010.25
,1010.68,1011.11
you can be on ,1011.73,1012.29
toes for this or you be on your ,1012.59,1013.9
join me ,1014.44,1015.01
let's do ,1015.4,1015.91
,1016.32,1016.43
Jake you've ,1016.86,1017.569999
those waffles after this ,1017.88,1019.41
are they gonna have chocolate chips ,1020.32,1021.31
,1021.87,1021.9
or ,1022.44,1023.029999
I prefer chocolate ,1023.61,1024.689999
,1024.969999,1025.399999
,1026.039999,1026.609999
that's actually what I made this ,1027.23,1028.63
,1029.15,1029.38
me and my ,1029.89,1030.49
I haven't gotten ,1033.07,1033.54
eat them yet ,1033.99,1034.72
so I've got a warm up ,1035.32,1036.48
so get a few ,1037.96,1038.89
began remember you can be on your toes for ,1039.5800000000002,1041.73
arms are ,1042.07,1042.86
arms are ,1043.23,1044.07
just build more in your triceps when you go ,1044.559999,1046.39
,1047.61,1047.9799999999998
everyone's ,1048.33,1048.79
great stay ,1048.99,1049.1
,1049.93,1050.0
,1050.59,1050.9299999999998
two ,1052.57,1052.85
those are ,1054.82,1055.4
,1055.639999,1055.649999
okay stand ,1056.19,1057.04
now we're going narrow squat to ,1058.19,1060.4
so feet ,1060.9,1061.539999
more narrow than those ,1062.1999990000002,1063.06
sit ,1063.59,1064.02
and then more of a ,1064.51,1065.5100000000002
and ,1065.74,1066.19
join me ,1066.44,1067.08
you haven't ,1067.55,1068.44
so step those feet out as wide as you ,1068.94,1071.2299999999998
and then get it out nice and narrow still setting those hips ,1071.7899999999995,1074.32
so in just a little ,1075.219999,1076.28
we're ,1076.87,1077.13
speed ,1077.54,1077.9199999999998
up and we're gonna have an option to go ,1078.1799999999998,1080.72
jumping from ,1081.109999,1081.94
and out ,1082.62,1083.46
when we speed it ,1084.26,1085.12
if you want to go plyo go for it or if you are like ,1085.92,1088.19
don't feel like jumpin and just move a little ,1088.61,1091.41
,1091.8,1092.03
you're with ,1092.71,1093.26
all right ten more seconds and then ,1094.059999,1095.78
speed it up keep that chest up keep that posture ,1096.1,1099.75
yes we're focusing on our ,1100.46,1102.0300000000002
but you still want to think about those back ,1102.42,1104.45
to keep that nice strong ,1104.76,1106.31
all right you ready to speed it ,1106.62,1107.8200000000002
here we ,1108.33,1108.9
join me ,1109.389999,1110.11
remember you can just speed it ,1110.639999,1111.8100000000002
or you could give me ,1113.86,1114.9399999999998
at each ,1116.32,1117.02
going ,1117.56,1118.24
all ,1118.82,1119.22
you're with ,1119.8,1120.48
this is the ,1125.39,1125.92
time on these ,1126.179999,1127.16
join me come ,1129.009999,1129.88
come on ten ,1130.5800000000002,1131.6
nice and ,1133.09,1133.6999999999998
nice and ,1134.07,1134.78
,1136.37,1136.75
come ,1137.41,1137.61
,1138.27,1138.38
three two one that was ,1141.65,1143.399999
so ,1144.36,1144.7
we're going ,1145.66,1146.41
to those fast ,1147.34,1148.269999
this ,1148.889999,1149.4699999999998
I'm going to say ,1150.039999,1151.21
and when I say side you're gonna jump to the ,1151.779999,1153.84
and bring it back to ,1154.23,1155.37
but we're gonna all ,1155.92,1156.9199999999998
to ,1157.55,1158.14
,1158.62,1158.81
,1159.48,1159.53
,1160.45,1160.7
here we ,1161.51,1161.7999989999998
quick ,1162.5799989999998,1162.8499989999998
quick feet ,1163.16,1163.749999
yup side ,1164.45,1165.61
come ,1168.03,1168.22
let's get it ,1169.12,1169.7099999999998
move those feet move those feet ,1170.58,1172.5
,1174.19,1174.36
,1175.79,1176.16
let's ,1176.67,1177.1
few more ,1177.62,1178.44
,1178.67,1179.03
,1179.52,1179.65
,1180.34,1180.74
tap it ,1181.059999,1181.7
now we go to the other ,1182.16,1183.78
,1185.309999,1185.549999
don't ,1185.799999,1186.129999
we have ,1186.57,1187.419999
of these ,1187.74,1188.5400000000002
available on the NTC ,1188.8300000000002,1189.76
and NTC premium is free in the US right ,1191.09,1193.87
has amazing programs in ,1194.2,1195.76
so don't forget to check it ,1196.28,1197.339999
all ,1198.04,1198.489999
you ,1199.159999,1199.659999
,1200.13,1200.45
,1200.969999,1201.099999
one back to quick feet we're going this way now side come on ,1201.679999,1205.7099990000002
let's go side nice and ,1206.8099990000003,1208.9199999999998
how fast can you bring it back to ,1209.15,1210.6
,1210.81,1211.13
,1211.75,1212.25
side side side and relax alright ,1216.52,1221.02
now we're going back to our strength ,1222.199999,1223.8300000000002
you're feeling ,1224.32,1224.93
virtual high fives right ,1225.55,1226.7
okay so now we're going into a plank row with a ,1227.37,1230.35
so when I say you're gonna ,1230.64,1231.74
and ,1232.33,1232.89
and then you'll switch when I ,1233.37,1234.6799999999998
drive those elbows back and ,1234.95,1236.92
keep the hip as level as you ,1237.299999,1239.05
you ,1239.52,1239.9299999999998
join me now here we ,1240.5,1241.409999
up ,1242.259999,1242.849999
come ,1244.32,1244.58
,1245.26,1245.3
drive those elbows back ,1247.33,1248.74
hold ,1248.98,1249.63
switch ,1252.4999999999998,1252.63
the wider your feet ,1254.24,1255.34
the more stability you have ,1255.66,1256.849999
,1258.209999,1258.609999
so if you want to make it ,1260.389999,1261.94
easier you could bring your ,1262.48,1263.88
,1264.29,1264.74
,1265.05,1265.56
,1265.98,1266.21
you can bring them more narrow to make it more ,1266.82,1268.77
,1269.28,1269.49
let's get two ,1271.3,1272.26
,1272.53,1273.1
,1275.98,1276.16
,1278.5,1278.61
,1279.27,1280.19
all ,1280.62,1281.11
bring those feet ,1281.84,1282.72
so ,1283.48,1283.9699999999998
we're gonna go into a hinge you may have seen this ,1284.71,1286.72
we did it in the warm up but now we're going single ,1287.13,1289.15
slight bend in the ,1289.46,1290.299999
hinge ,1291.09,1291.77
and then drive it ,1292.34,1293.34
nice and easy at your own ,1294.119999,1295.27
you ,1295.539999,1295.899999
join me now so one ,1296.449999,1297.89
,1298.86,1299.26
leg is slightly bent so this is that hinge that we did in beginning single leg ,1299.52,1303.66
like an ,1303.99,1304.8
weee of your ,1305.73,1306.8
all the way to your ,1307.24,1308.05
you're straight so your posture is strong shoulders are ,1308.58,1311.3200000000002
,1311.65,1312.11
,1312.809999,1313.329999
we're crushing it together right ,1314.029999,1315.63
heart rate is probably still ,1317.02,1317.81
little ,1318.09,1318.66
,1319.23,1319.54
it's ,1320.21,1320.62
just focus on you're slowing down your ,1321.41,1322.91
but next around what we do these we're gonna speed it up a little ,1323.75,1326.669999
,1326.929999,1327.2999989999998
and shout ,1328.849999,1329.21
to my running mommies who have been tuning ,1329.5,1331.359999
finish my ,1331.959999,1332.63
,1333.17,1333.5
now you're doing ,1333.83,1334.65
I ,1334.93,1335.48
,1335.68,1335.76
all right other ,1336.19,1337.11
got a shout out to the most amazing women that I know in ,1338.01,1341.12
you ladies are so ,1341.73,1343.46
thank you for pushing everyone around ,1344.03,1345.82
,1346.5,1346.52
keep that back flat shoulders ,1347.929999,1349.699999
,1350.389999,1350.819999
go at your own ,1351.51,1352.63
you might notice your ankles are like ,1353.1,1354.54
whoa ,1355.11,1355.69
it's ,1356.25,1356.63
especially if you're not used to doing balance work this might feel really new to ,1357.97,1361.179999
good ,1362.57,1363.1899990000002
we've got a few more just like ,1363.7,1365.28
it's been really fun to watch all of you guys tuning ,1366.969999,1369.48
the ,1370.01,1370.46
few ,1371.07,1371.57
months at this ,1371.87,1372.87
it's been really inspiring you guys are keeping me motivated so thank you for ,1373.44,1376.76
I've been loving everyone tuning in to all the ,1377.059999,1379.68
alright last ,1380.59,1381.46
,1382.37,1382.81
now we're gonna go ,1383.549999,1384.73
into the ,1385.0,1385.889999
and similar to our you eccentrics that we did with our push ups and our split ,1386.939999,1390.09
we're gonna lower them down at my ,1390.38,1391.9299999999998
you ,1392.29,1392.7
here we go ,1393.27,1393.85
lower down ,1394.349999,1395.21
,1395.92,1396.3100000000002
,1396.87,1397.27
one ,1397.74,1398.46
lower ,1399.21,1399.69
,1399.92,1400.23
,1400.929999,1401.219999
,1401.92,1402.22
,1402.809999,1403.139999
switch so nice and slow pretend like you're pushing ,1403.34,1406.43
that's invisible into the ground ,1406.65,1408.54
lower down slow ,1408.79,1410.3000000000002
,1410.92,1411.35
,1411.86,1412.2300000000002
one like matrix style like you're like pushing something away from you but you can't see ,1412.7,1417.17
I know you can see it but I can ,1417.969999,1419.59
stay with me ,1421.119999,1422.12
drive the elbows back towards your ,1422.84,1424.37
you're doing great come ,1425.08,1426.3
,1427.48,1427.5
come ,1429.33,1429.49
come ,1431.929999,1432.289999
Anthony I hope you're ,1434.48,1435.629999
with ,1435.83,1436.249999
well dancing to the ,1436.49,1437.73
I know you can you can get the little dance breaks in ,1437.98,1440.099999
one more ,1440.41,1441.09
and ,1443.08,1443.9299999999998
so super Sam always killing it love you ,1444.69,1447.2900000000002
,1447.75,1448.2
so now we're going up to those ,1448.8,1450.2099999999998
so you ,1450.7699999999998,1451.31
,1452.11,1452.55
this ,1453.13,1453.7199999999998
I want you to drive it up fast so we're gonna go ,1454.15,1456.669999
slow ,1457.09,1457.779999
and then drive it ,1458.17,1459.09
,1459.41,1459.69
join me now ,1460.22,1461.23
back ,1461.93,1462.29
slow slow ,1462.93,1463.8
drive ,1464.35,1464.83
up so I want you to pretend like you're breaking glass at the ,1465.05,1467.62
that ,1467.83,1468.589999
I want it to go up as fast ,1468.96,1470.38
you ,1470.8300000000002,1471.34
,1471.84,1472.28
if you're still working on the ,1472.83,1474.12
stay where we were in that first ,1474.539999,1475.920001
but if you're feeling pretty ,1476.369999,1477.49
I want to see that glass ,1478.15,1479.31
come ,1479.85,1480.22
let's go ,1480.94,1481.4
,1482.18,1482.49
whoo keep it ,1484.88,1486.09
few ,1487.08,1487.76
slow slow ,1490.03,1490.939999
drive it up all right other ,1491.37,1493.71
slight bend in the ,1494.34,1495.1899999999998
chest ,1495.51,1496.09
let's get it whoo ,1496.6,1500.5600000000002
am loving this ,1501.3,1502.12
am nice and sweaty I don't know about you ,1502.51,1503.69
,1504.28,1504.57
I am sweaty ,1505.639999,1506.9
all right drive it ,1508.469999,1509.319999
