PHRASE,START,END
two and last one zero nice okay so we're going to move on to some shoulder presses next I'm gonna grab my box over here Claudia's going to grab her box and I'm going to do this one from a standing position so from the box it's a little easier standing a little harder standing it forces me to use a little bit more stability and a little bit more core but overall very comparable movements you decide which one is right for you if you don't feel comfortable the overhead quite yet grab a ,257.36,285.329999
full range of motion on this one all the way up all the way down stay nice and under control you don't want to fling or swing the dumbbells ,286.279999,295.48
keep your core ,296.25,297.38
this is a strength training routine so we don't want to I know you said work at your own pace but we definitely don't want to make this a cardio and just start pumping out correct exactly reps if you are using a weight that you can just do 100 reps in this 30 second time period then you need to up the ,297.92,314.28
nice okay not much time left on this ,315.09,317.699999
and five four three two and one nice all right shake those arms move this out of the ,319.69,327.64
and we're going to move into a dumbbell curl so we're gonna hit those biceps next working on the gun show Claudia's got a gun show with her tank top on tonight look at those ,328.16,336.16
,337.259999,337.589999
just admiring my wife's guns okay so we're going to do a ,339.009999,341.099999
both palms come up we're going to curl those pinkies in on the way up and then all the way back ,342.309999,347.48999999999995
again this one's under control so that means we're not swinging up and flinging them back down right that defeats the purpose but ,348.41,354.66
I feel that time under tension feel those muscles ,355.34,358.88
all the way up and all the way down you got it good Claudia's going to give you a nice side ,359.629999,365.06
keep those shoulders back and square mm ,366.13,369.62
you got it we're ,370.74,372.15
just 10 more seconds left on this ,372.95,374.84
fight ,375.46,376.35
you got ,377.35,378.11
and ,378.85,379.81
,380.53,381.13
one and zero alright moving to the lower ,381.69,385.68
Claudia is going to grab her box or if you have a chair that works as well if you want to do the modified version I'm also going to lose a dumbbell here yeah exactly she's only gonna use one weight good point so she's going to do a goblet squat you notice how she's holding the weight up with two hands and I got a my thumbs out I'm gonna do a dumbbell squat just at my side so I'm going to be able to get a little bit deeper than doing the chair or box squat but either way we're both bending at the hips first driving those hips ,386.36,414.09
and then coming ,414.609999,415.71
until our ,416.54,417.62
are parallel to the ,418.6,420.02
all the way up all the way ,420.6,422.27
and I'm just touching the ,423.29,424.76
and coming right back up I'm not sitting not ,425.62,428.92
,430.369999,430.949999
or bouncing that's the other thing right correct I'll give ,431.49,433.59
guys a side view ,435.23,436.49
squatting make sure you keep those knees out don't allow them to break or compress ,438.99,443.279999
nice work not much left on this one I know your legs are probably starting to feel it I didn't forget about you we got ,444.11,449.87
four three ,450.449999,453.169999
and one done ,453.96,455.6
we're going to move on to a ,456.18,457.53
tricep ,458.12,458.899999
we're gonna hit those triceps next save movement really just ,459.559999,463.36
mix up your weight find what weight works for you on this one so we're bent over our elbows are up we're only going to bend at those elbows not moving the whole ,464.12,474.21
keep your core ,474.75,475.89
and at the top you're squeezing that back of the arm squeezing your triceps up at the ,476.55,481.38
nice ,482.11,483.09
notice we're using that elbow as a ,484.209999,486.359999
so we're not moving that upper arm just bend at the elbow so what I mean by that is you're not going here right no swinging no swinging because now all of a sudden all the other muscles are taking over we just want to isolate the triceps on this ,487.07,499.7
you got it ten more seconds that's ,500.62,502.670001
guys are doing great thank you so much for joining us today and for all of your hard ,503.51,509.21
and ,509.93,510.67
,511.49,512.0
one and done ,512.57,514.249999
we're going to the ground losing my weights Claudia's going to lose her weights I'm going to keep mine though we're going to do a dumbbell reach ,515.139999,522.09
,522.59,523.0
from a crunch position we're going to our feet on the ground we're going to reach up to the ,523.56,527.8599999999999
we're bringing our shoulder blades off the ground and come back down so we ,528.4,531.9800000000001
contracting the ABS up at the top reaching up big and high you see I'm using my weights making it more difficult Claudia she's just using her body ,532.5500000000001,540.3499999999999
you could also just use one weight if you wanted to that's right so again it's all about making this your own coming back repeating it getting a little bit better every single ,541.89,553.64
and that's how we improve that ,554.34,557.1
nice work reaching ,558.44,559.67
don't bounce off the ground stay under control you got ,560.17,564.03
nice work nice ,564.71,566.18
we got 10 more seconds on this ,567.59,569.399999
feeling those ABS start to work that's a good ,570.11,573.6799990000001
that's the feeling of improvement right ,574.82,577.69
and ,578.57,579.4799999999999
,580.05,580.54
one and zero ,581.16,583.75
we're going to rest that's the end of the first round we got one more to ,584.309999,588.139999
all right so it's a quick 20 second break that doesn't give you much time if you want feel free to grab some water shake it loose take a couple deep breaths we're going to get right back into ,589.29,600.54
all right so we got ten seconds I'm going to grab my dumbbells we're getting ready we're starting with the ,601.57,606.85
we're gonna I'm doing my crusher row Claudia's doing her T ,607.41,610.980001
and here we go we're pulling back at those elbows keeping our core nice and tight and if you're wondering why we didn't take a longer break even though we're beginners that's because the workout specifically designed to allow some muscles to rest while others are working so right now our backs working but at the same time our chest may be resting allows us to get a lot done in a short period of time again pulling back on those elbows anytime you're doing a row you want it to be like you have a string attached to your elbows and you're just pulling back on it just be sure to keep that core tight also exactly you don't want your ,611.549999,647.7299989999999
getting loose or allowing your abs to ,648.3,651.87
almost there on this one let's go five four ,652.94,656.95
two and one all right going to the ,657.46,660.8000000000001
you need both weights for this next one doing that hip up plus chest ,661.849999,666.5100000000001
so we're driving off the ,668.07,669.89
and squeezing our glutes and pressing up at the ,670.44,673.92
,674.55,675.1099999999999
nice work and again on any of these don't feel like you have to use the same weight for all of them feel free to adjust the weight as you go through ,675.88,683.1999989999999
start with your best guesss ,685.04,686.57
don't just keep the weight if you're not able to complete the reps in a safe ,687.4,692.13
or the other way if it's not challenging you make sure to up the weight so you ,693.23,696.4300000000001
get that full ,697.429999,698.9599999999999
nice work driving off the heels pressing straight up keep it up guys almost ,700.389999,704.93
and five ,705.79,708.0699999999999
,708.67,709.36
two one zero we're up on our ,709.89,713.8399999999999
and try to keep the pace up a little bit faster for the second round because we know what we're doing we're going to stiff leg deadlift or RDL plus ,714.57,722.39
kick back right below your knees pop em and ,723.31,726.4499999999999
taking the weight back on our hips feeling that ,727.6999999999999,730.4
and up and ,731.52,733.5
nice work this one really hits that ,734.13,736.11
posterior chain so ,736.92,738.68
I always ,739.64,740.26
in your front are the show muscles in the back are the go muscles basically means all your power and real athleticism comes from your ,741.35,749.12
come on keep it up you got ,750.12,751.39
nice ,752.63,753.4499989999999
not many left let's ,754.549999,756.23
five more seconds that's ,758.14,759.3499999999999
and ,760.6,761.47
,762.16,762.8199999999999
,763.55,764.0999999999999
one and zero finishing strong okay grab your seat if you got one so if you're doing your shoulder press seated feel free to grab it otherwise kicking them up getting right into it bring those dumbbells down to about in line with your ears maybe just a little bit lower really depends on your flexibility and what feels ,764.74,784.8299999999999
don't take it to a place ,785.44,786.9
feels awkward with your ,787.57,789.26
nice work core stays tight doesn't matter either one whichever one you're doing still stays ,790.01,794.99
nice work this is about that point in the workout where you start to really feel it it starts to kick in and it becomes all mental right now not even physical it's all up in your head it's all that mental toughness and grip that's going to keep you moving and fighting through rep by Rep let's go ,795.88,813.05
on and ,813.5799999999999,815.0699999999999
,815.63,816.1
three two one zero ahh all right feeling ,816.66,821.4399999999999
moving on to a dumbbell curl so we're hitting the biceps next let's get it both curling at the same time curling those pinkies ,822.2,829.4499999999999
there we go arms are starting ,830.39,831.72
get a little bit of lactic acid built up in them remember you don't have to listen to that that's just a pain signal but the muscles got plenty left you got this come ,832.84,840.87
driving ,842.259999,842.99
curl those pinkies in shoulders are ,843.929999,846.239999
nice ,847.54,848.33
one right into the ,849.07,850.9599999999999
using good form not swinging the weights not getting a bunch of momentum ,853.05,857.04
almost ,858.34,859.089999
let's go five more seconds that's ,859.6599990000001,861.1400000000001
and ,862.219999,863.269999
,863.83,864.2900000000001
,864.9300000000001,865.4000000000001
one zero all right all right we're moving on to either a dumbbell squat or ,865.9000000000001,871.2199999999999
dumbbell goblet squat from the ,873.07,876.399999
I'll clean that name up ,877.17,878.249999
okay so we're going into our squats weights back on our ,879.719999,883.26
making sure to break at the hips every time because if you don't what happens is you bend at the knees first and you end up here and then you're like oh man my knees hurt hips back then squat that's the key keep those feet flat drive off the ,885.04,898.04
nice work you got ,898.65,900.470001
every squat you do you're going to get that much better at it nobody starts great at these I promise ,901.3,907.59
it's work putting in the work right here and you will see the results I promise you come back repeat it get better that's what it's all about thank you so much for your hard work ,908.2,919.09
nice work ,920.36,921.65
we got it let's go five four three two one and ,922.69,929.49
okay we're going back to the upper body remember I said while one body parts resting the others working so now we're going to the upper body dumbbell tricep kickbacks elbows are up only bend at those ,930.32,940.85
,942.01,942.72
and squeeze that back of the arm squeeze those ,943.44,946.65
nice work guys come on keep it ,947.309999,948.81
one into the next this is it right here we don't have much ,949.88,953.669999
we got ,954.65,955.249999
about up one more exercise one more after this one ,957.039999,959.3
that's ,959.97,960.69
fighting through it's all ,961.39,962.769999
remember focus on your goals focus on what brought you here what motivates ,963.4,967.529999
and get ,968.5,969.33
breathe let's ,969.929999,970.999999
and ,972.0,972.8
four three two one and done okay we're going to finish up with some ABS it means we're going to the ground I'm gonna keep one Claudia's gonna keep one this time two hands on one she'll go and we're going to go right into those reach ,973.3,987.59
reaching up to the ,988.5,989.9
squeeze in those ,990.779999,992.119999
up at the ,992.69,993.66
you got it ,994.29,995.93
remember this is it right here what are you saving it for don't save anything put it all out there right now right here right now let's ,996.72,1004.7
nice work nice ,1006.65,1008.249999
not much ,1009.89,1010.72
more than halfway done with this one ,1011.55,1013.64
here we ,1014.47,1015.16
rep by Rep getting closer to the end closer to that finish ,1016.02,1019.81
almost there come on now in five ,1021.62,1024.46
,1025.1,1025.55
,1026.299999,1026.719999
,1027.4,1027.77
