PHRASE,START,END
in ,1028.51,1029.15
,1030.04,1030.44
one remember you do not have to touch the floor just go as low as you ,1031.28,1036.27
and bring that knee ,1037.059999,1038.13
it's the standing ,1038.7399999999998,1040.27
that gets that deep ,1040.95,1042.06
you know what I call it I call that change ,1042.73,1045.599999
it hurts yes it burns yes but there it ,1046.339999,1049.83
flowing through your body and changing your ,1050.42,1053.529999
that's what matters that's what ,1054.1199989999998,1056.43
we ,1057.07,1057.4199999999998
this ,1059.48,1059.94
,1060.76,1061.31
determination taking it up a level with a real start ,1062.25,1066.05
today ,1068.21,1068.72
you're here today you're a warrior you're a winner and you're win three ,1069.33,1073.359999
and ,1074.509999,1075.04
make no mistake about ,1075.889999,1077.41
this is different ,1079.27,1080.38
this is another ,1081.37,1082.5
yet here we are here we ,1083.19,1085.11
marching ,1085.61,1086.28
in to the power punches and I want these to be your best punches not your second best punches I want them to be your best you aim them right down the pipe ,1086.9,1096.3300000000002
,1096.969999,1097.229999
one let's go 40 seconds ,1097.83,1099.65
want to see come on Wade show ,1100.28,1102.16
that game face show me show me come on ,1102.7499999999998,1105.0499999999995
on let's go let's punch let's work let's get that core tight power feeling that come on Angie come on all the way out now all the way out look at that speed and power that's drive that's determination two game faces come on come on I can't keep up with this ,1106.5799999999997,1121.99
intense so that's what we're doing we're here for it we came here we got to put ,1122.63,1128.42
in personal best personal best effort come on all the way out all the way ,1129.34,1134.329999
the enemy's coming ,1135.509999,1136.7
,1137.55,1137.79
,1138.8,1139.21
,1140.07,1140.4299999999998
is what I ,1141.36,1142.14
an intense ,1142.74,1144.71
,1145.3,1145.83
,1148.74,1148.82
,1149.63,1149.76
we are almost there I can see the finish ,1150.7,1153.45
I mean it's not ,1153.99,1154.9
there but we're getting ,1155.7,1156.67
up next ,1157.65,1158.67
two ,1159.27,1160.5600000000002
touching touching knee opposite knee ,1162.16,1165.05
feeling ,1165.82,1166.38
working ,1167.27,1168.15
I am ,1170.549999,1171.09
,1171.7,1172.37
feel like I'm standing ,1173.04,1174.4499999999998
Niagara ,1175.26,1176.5
,1177.12,1177.39
gotta keep going core ,1178.05,1179.789999
desire now push push ,1180.32,1183.6
come ,1184.719999,1185.04
you've got this they're gonna feel the waterfalls of progress washing over us ,1185.61,1193.37
stay with ,1194.56,1195.1799999999998
,1196.13,1196.65
,1197.179999,1197.639999
,1198.23,1198.8
and ,1201.04,1201.5699989999998
and ,1202.469999,1203.279999
there's not much in the tank ,1203.969999,1205.4299999999998
there's not much in the tank but we got to do ,1209.4699999999998,1212.69
you've got that ,1213.51,1214.38
it's coming next right foot planted ,1215.15,1217.9299990000002
,1218.469999,1218.859999
,1219.38,1219.84
that's a ,1221.6,1221.85
burn come on come on come on let's ,1228.59,1230.65
,1232.0,1232.32
,1241.709999,1242.079999
low ,1245.41,1245.839999
,1247.22,1247.64
who said you need high impact to get a fantastic heart raising super ,1248.22,1253.8200000000002
body changing life transforming workout three ,1254.38,1258.41
and ,1259.07,1259.589999
and ,1260.669999,1261.149999
and ,1262.2,1262.73
the other ,1263.76,1264.56
the other ,1265.46,1266.14
come ,1271.7299999999998,1272.4
left foot ,1273.63,1274.1
,1275.099999,1275.649999
,1276.77,1277.09
and one let's ,1278.119999,1279.02
the active ,1279.9,1280.35
are making this level 4 work ,1281.84,1284.81
the official rating ,1285.52,1287.47
,1288.03,1288.04
I'm going to tell you now that's the trick into you pressing ,1288.7,1291.97
I'll be honest ,1292.54,1292.96
kind of make up a little bit of a lie to getting you ,1296.16,1297.83
come ,1298.59,1299.0
come ,1299.88,1300.33
it's gotta be ,1303.09,1305.4
you've got to find it from ,1306.23,1307.59
this is no longer physical understand that your body wants to give ,1308.33,1312.58
it wants to ,1313.299999,1314.5
only the mind can win at this point 3 ,1315.09,1319.1899999999998
1 ,1322.9,1323.34
big breathes ,1324.0300000000002,1324.14
big breaths ,1326.17,1327.089999
,1328.629999,1328.909999
I'm feeling it with you ,1329.46,1330.549999
I'm feeling the ,1331.139999,1332.09
we're all ,1334.4999999999998,1334.9899999999998
it's good pain I'm glad you think that Wade I'm not so sure right now ,1336.68,1340.539999
two one here we ,1341.16,1342.9599999999998
hamstring punches and I almost lost my ,1343.77,1346.49
nice and ,1347.25,1347.95
core ,1348.529999,1349.37
we're actually switching ,1351.51,1352.9
the last exercise which was obliques before because I want to keep the energy high and I've got a little treat for ,1353.41,1361.359999
it's called ,1361.969999,1362.75
punch ,1363.259999,1364.77
it's 20 seconds of each of them back to back so 20 seconds of ,1365.38,1372.3100000000002
fast or ,1373.03,1374.51
20 seconds of ,1375.04,1376.1899999999998
and 20 ,1376.71,1377.799999
and ease and 20 seconds keep your bodies ,1379.359999,1382.77
and 20 ,1383.63,1384.9399990000002
of your choice of ,1385.48,1386.79
Angie's going high impact me and Wade we're going ,1387.82,1390.62
fast march or ,1391.56,1392.9
power punches and ,1393.5,1395.54
in three 60 seconds ,1396.4,1398.33
and one here ,1399.45,1400.14
go fast as you can now core ,1400.9599999999998,1403.14
let's push come ,1404.66,1406.1899999999998
come on ,1406.89,1407.72
come ,1408.84,1409.23
she's putting some punches in I love that spirit look at ,1410.2,1415.5
,1416.099999,1416.589999
come ,1417.099999,1417.4
,1418.059999,1418.499999
and one and we're straight in punches let's go 20 seconds of punches ,1419.849999,1425.72
power come on Wade all the way now ,1426.27,1428.76
all the ,1429.27,1429.86
all the way all the way ,1432.98,1433.25
Angie all the way out come on come on Wade focusing focus ,1434.16,1435.3
,1436.299999,1436.669999
,1437.4,1437.77
and ,1438.58,1439.269999
and stars let's ,1439.98,1441.15
20 seconds of ,1443.24,1444.6699999999998
,1445.82,1446.16
we can see the finish ,1447.72,1449.13
like thoroughbred horses we are running to ,1451.509999,1454.77
that's how we feel that's who we are ,1455.429999,1458.4399999999998
,1459.09,1459.62
and ,1460.57,1461.14
and ,1462.05,1462.76
,1463.53,1463.81
I'm really sorry about this ,1464.89,1466.1999999999998
we're doing it ,1466.809999,1467.6
but I'm changing the order we're gonna go runs ,1471.509999,1475.370001
and then I want to see punches like Bruce Muhammad ,1475.879999,1479.7099999999998
,1480.37,1480.88
,1481.68,1481.94
one start with a run the last 60 seconds today into the ,1482.68,1487.759999
and then punch like you mean ,1488.3,1490.789999
come ,1491.5,1492.02
come ,1493.459999,1493.969999
let's work ,1498.489999,1500.1099989999998
,1501.1099989999998,1501.5999989999998
one stars let's ,1502.6899979999998,1504.61
stay with ,1509.099999,1509.719999
desire ,1510.279999,1512.009999
come on let's push let's ,1512.539999,1514.84
let's ,1515.35,1515.9799999999998
first workout almost done ,1519.2899999999995,1521.419999
,1522.059999,1522.499999
one and ,1523.2,1524.82
come ,1525.549999,1525.84
I want to see the very most powerful punches you've got that's it Wade come on come on show us how it's done everybody's there everybody's with us fight push work come on Angie look at the speed ha work through now come on drive desire push dig three come on ,1526.38,1546.339999
,1547.329999,1547.759999
come ,1550.26,1550.87
great job Angie great ,1553.61,1555.87
,1560.27,1560.5
here first ever buddies project work out how well did these guys do it is like we've all been in the shower right yeah let's get stretched off what a fantastic ,1561.18,1572.64
keep marching keep ,1573.37,1575.06
little side steps ,1576.61,1578.16
,1580.559999,1580.909999
is what I ,1581.52,1582.4099990000002
a kick off ,1583.690001,1584.9299999999998
I just ,1585.59,1586.62
if you're gonna be here of filming we might as well go in at the deep end ,1587.37,1591.02
we might as well just go in and get it done how ,1591.58,1594.74
does it feel now how good do you ,1595.42,1597.37
having done that session ,1597.889999,1599.29
little open up at the ,1600.309999,1601.43
we're gonna start our stretch we'll just let that heart rate come down it takes a little ,1602.83,1607.31
and stretch ,1608.92,1609.91
right leg first with the ,1610.559999,1612.5
core ,1613.11,1614.0
nice ,1616.599999,1617.099999
,1622.939999,1623.099999
and then change over to the other ,1625.259999,1627.1699999999998
breathe in deep I am honestly still struggling to get my breath ,1635.96,1638.85
that's how it's feeling like a nice stretch through the ,1639.82,1642.5
low impact I'll say again all standing that was a body changing change juice filled ,1644.3,1653.02
core ,1654.99,1655.799999
and as long as you're here stretching with us whether you press ,1657.5,1662.02
20 times whether you did half of each section or 10 percent of each section it doesn't matter because you can come back tomorrow and do a little bit more if you marched through the whole session that's great never question yourself every moment that you move your body is a step towards the outcome that you ,1662.73,1685.49
it's not gonna be dramatic change comes because of consistent decisions and the day is a workout but ,1686.09,1694.8
